cusip,name,type,issuedate,maturitydate,originalface
36225BKJ6,781197,SP,20000701,20300715,200005000
36225BKK3,781198,SP,20000701,20300715,100005000
36225BKL1,781199,SP,20000801,20300715,260686190
36225BKM9,781200,SP,20000801,20251215,32618413
36225BKN7,781201,SP,20000801,20300815,15005000
36225BKR8,781204,SP,20000801,20300815,75005000
36225BKS6,781205,SP,20000801,20300715,200005000
36225BKT4,781206,SP,20000801,20300815,105005000
36225BKU1,781207,SP,20000801,20300815,708505000
36225BKV9,781208,SP,20000901,20300915,75200000
36225BKW7,781209,SP,20001001,20300915,75005000
36225BKX5,781210,SP,20001001,20290915,1640005000
36225BK31,781214,SP,20001101,20271215,10600690
36225BK49,781215,SP,20001101,20290915,300005000
36225BK56,781216,SP,20001201,20301215,150005000
36225BK64,781217,SP,20001201,20300420,10521447
36225BK72,781218,SP,20001201,20300815,100005000
36225BK80,781219,SP,20001201,20301215,100005000
36225BK98,781220,SP,20001201,20301215,50005000
36225BLB2,781222,SP,20001201,20301215,190005000
36225BLC0,781223,SP,20010101,20301215,50005000
36225BLF3,781226,SP,20010101,20301215,137005000
36225BLG1,781227,SP,20010101,20261215,80005000
36225BLH9,781228,SP,20010101,20281215,121005000
36225BLJ5,781229,SP,20010101,20301215,40005000
36225BLL0,781231,SP,20010101,20301215,1015256780
36225BLP1,781234,SP,20010101,20310115,123635000
36225BLQ9,781235,SP,20010101,20290515,103005000
36225BLR7,781236,SP,20010101,20300915,150005000
36225BLS5,781237,SP,20010101,20301015,385005000
36225BLU0,781239,SP,20010101,20261215,275895750
36225BLX4,781242,SP,20010201,20310215,50005000
36225BLZ9,781244,SP,20010201,20290615,150005000
36225BL22,781245,SP,20010201,20310215,107005000
36225BL30,781246,SP,20010201,20310215,350005000
36225BL48,781247,SP,20010301,20310115,100005000
36225BL71,781250,SP,20010301,20301215,200005000
36225BL89,781251,SP,20010301,20251115,25090528
36225BL97,781252,SP,20010301,20301215,243370000
36225BMB1,781254,SP,20010301,20251215,11177625
36225BMC9,781255,SP,20010301,20291115,200474065
36225BME5,781257,SP,20010301,20310315,58005000
36225BMF2,781258,SP,20010301,20310315,150005000
36225BMG0,781259,SP,20010301,20310315,200005000
36225BMH8,781260,SP,20010301,20310315,200005000
36225BMJ4,781261,SP,20010301,20310215,100005000
36225BMK1,781262,SP,20010301,20310315,150005000
36225BML9,781263,SP,20010301,20310315,183005000
36225BMM7,781264,SP,20010301,20310315,200005000
36225BMN5,781265,SP,20010301,20291215,1216598899
36225BMQ8,781267,SP,20010401,20271215,11244634
36225BMR6,781268,SP,20010401,20261215,29008716
36225BMS4,781269,SP,20010401,20300915,200005000
36225BMT2,781270,SP,20010401,20261215,58736432
36225BMU9,781271,SP,20010401,20310415,200005000
36225BMV7,781272,SP,20010401,20290815,70005000
36225BMW5,781273,SP,20010401,20310415,150005000
36225BMX3,781274,SP,20010401,20310415,500005000
36225BMZ8,781276,SP,20010401,20310415,1975005000
36225BM21,781277,SP,20010401,20281215,150005000
36225BM39,781278,SP,20010401,20310415,400005000
36225BM54,781280,SP,20010401,20310415,150005000
36225BM88,781283,SP,20010501,20261215,22559348
36225BNA2,781285,SP,20010501,20310515,500005000
36225BNC8,781287,SP,20010501,20310515,2000005000
36225BND6,781288,SP,20010501,20310515,3000005000
36225BNE4,781289,SP,20010501,20310415,265005000
36225BNF1,781290,SP,20010501,20290715,500005000
36225BNG9,781291,SP,20010501,20310515,500005000
36225BNJ3,781293,SP,20010601,20270215,15902966
36225BNK0,781294,SP,20010601,20280915,91989292
36225BNL8,781295,SP,20010601,20310615,37118615
36225BNM6,781296,SP,20010601,20310615,50005000
36225BNP9,781298,SP,20010601,20271215,349027365
36225BNQ7,781299,SP,20010601,20310615,250005000
36225BNR5,781300,SP,20010601,20310615,1000005000
36225BNS3,781301,SP,20010601,20310620,1000005000
36225BNV6,781304,SP,20010701,20241215,43339347
36225BNW4,781305,SP,20010701,20310615,500005000
36225BN87,781315,SP,20010701,20310715,1000005000
36225BN95,781316,SP,20010701,20310715,100005000
36225BPA0,781317,SP,20010701,20310715,1000005000
36225BPB8,781318,SP,20010701,20241215,230247199
36225BPC6,781319,SP,20010701,20310715,4892496317
36225BPF9,781322,SP,20010801,20251015,21263083
36225BPH5,781324,SP,20010801,20310715,3557005000
36225BPJ1,781325,SP,20010801,20260115,101007898
36225BPL6,781327,SP,20010801,20251215,29331801
36225BPM4,781328,SP,20010901,20310915,4300005000
36225BPN2,781329,SP,20010901,20310915,400005000
36225BPP7,781330,SP,20010901,20310915,300005000
