cusip,interestrate,remainingbalance,factor,gwac,wam,wala,indicator,istbaelig,cpr,date,cdr,predictedcpr,predictedcprnext,predictedcdr,predictedcdrnext,cprnext,cdrnext
36225AGH7,8.5,6082.32,.00002793,9,8,352,,,,2024-08-01,,,,,,,
36225AGM6,7,271.78,.00000269,7.5,4,349,,,,2024-08-01,,,,,,,
36225AGQ7,9,4606.54,.00009154,9.5,4,356,,,,2024-08-01,,,,,,,
36225AGV6,8,10323.63,.00008661,8.5,10,349,,,,2024-08-01,,,,,,,
36225AGW4,7.5,7816.21,.0000463,8,9,349,,,,2024-08-01,,,,,,,
36225AG46,7.5,1194.87,.00002342,8,9,349,,,,2024-08-01,,,,,,,
36225AG53,7.5,7940.04,.0000423,8,8,349,,,,2024-08-01,,,,,,,
36225AG95,8,18702.71,.00014813,8.5,10,349,,,,2024-08-01,,,,,,,
36225AHB9,7.5,3.92,.00000002,8,3,349,,,,2024-08-01,,,,,,,
36225AHS2,8,10337.23,.00009629,8.5,10,349,,,,2024-08-01,,,,,,,
36225AHY9,8,15729.56,.00009059,8.5,10,349,,,,2024-08-01,,,,,,,
36225AH29,8,4899.86,.00004796,8.5,9,350,,,,2024-08-01,,,,,,,
36225AH37,7.5,4391.66,.0000421,8,9,348,,,,2024-08-01,,,,,,,
36225AJY7,7,2581.37,.00005121,7.5,12,346,,,,2024-08-01,,,,,,,
36225AKL3,7,18291.93,.00017932,7.5,15,343,,,,2024-08-01,,,,,,,
36225AMA5,8.5,301.97,.0000174,9,10,350,,,,2024-08-01,,,,,,,
36225AMC1,7.5,5409.96,.00021211,8,15,343,,,,2024-08-01,,,,,,,
36225AMF4,9,13755.1,.00006421,9.5,7,352,,,,2024-08-01,,,,,,,
36225ANQ9,7.5,135576.81,.00027115,8,17,340,,,,2024-08-01,,,,,,,
36225ANR7,7,59402.47,.0003,7.5,13,345,,,,2024-08-01,,,,,,,
36225ANT3,6,3702.56,.00003665,6.5,12,342,,,,2024-08-01,,,,,,,
36225AN30,7.5,237286.6,.0003057,8,18,339,,,,2024-08-01,,,,,,,
36225AN55,7.5,110597.06,.00036831,8,20,338,,,,2024-08-01,,,,,,,
36225AN63,6.5,28431.33,.00078964,7,18,340,,,,2024-08-01,,,,,,,
36225AN89,7.5,18993.74,.00037983,8,19,339,,,,2024-08-01,,,,,,,
36225APA2,7.5,31661.9,.0003166,8,17,341,,,,2024-08-01,,,,,,,
36225APD6,7.5,29586.53,.00029585,8,18,339,,,,2024-08-01,,,,,,,
36225APE4,7.5,27942.7,.00034451,8,19,339,,,,2024-08-01,,,,,,,
36225APF1,7.5,25473.27,.00025219,8,20,338,,,,2024-08-01,,,,,,,
36225APN4,7.5,41026.92,.0002735,8,20,338,,,,2024-08-01,,,,,,,
36225APS3,7.5,51330.83,.00050772,8,21,338,,,,2024-08-01,,,,,,,
36225APV6,7.5,9367.18,.00018732,8,18,339,,,,2024-08-01,,,,,,,
36225AQA1,7.5,33344.6,.00033342,8,20,336,,,,2024-08-01,,,,,,,
36225AQD5,7,29913.64,.00029912,7.5,17,342,,,,2024-08-01,,,,,,,
36225AQE3,7.5,11595.95,.00011257,8,13,345,,,,2024-08-01,,,,,,,
36225AQF0,7,49847.2,.00029149,7.5,17,341,,,,2024-08-01,,,,,,,
36225AQL7,7,47508.82,.00023993,7.5,16,342,,,,2024-08-01,,,,,,,
36225AQQ6,7,61779.39,.0002495,7.5,17,341,,,,2024-08-01,,,,,,,
36225AQR4,7,93381.96,.00037714,7.5,17,340,,,,2024-08-01,,,,,,,
36225AQS2,7,48811.74,.00024639,7.5,17,341,,,,2024-08-01,,,,,,,
36225AQ60,7,17866.12,.00051038,7.5,16,344,,,,2024-08-01,,,,,,,
36225AQ78,7,28412.83,.00037506,7.5,18,341,,,,2024-08-01,,,,,,,
36225ARA0,7,11360.41,.0001803,7.5,16,341,,,,2024-08-01,,,,,,,
36225ARE2,7,12739.86,.00025459,7.5,18,341,,,,2024-08-01,,,,,,,
36225ARS1,8,110829.9,.000486,8.5,22,334,,,,2024-08-01,,,,,,,
36225ART9,7.5,78602.05,.00032942,8,19,338,,,,2024-08-01,,,,,,,
36225ARU6,7,40040.26,.00033089,7.5,22,335,,,,2024-08-01,,,,,,,
36225ARW2,9,14399.46,.00011519,9.5,21,336,,,,2024-08-01,,,,,,,
36225AR69,6.5,144191.18,.00048548,7,17,340,,,,2024-08-01,,,,,,,
36225AR93,7.5,3117.77,.00012468,8,11,346,,,,2024-08-01,,,,,,,
36225ASA9,7.5,108894.06,.00054269,8,24,333,,,,2024-08-01,,,,,,,
36225ASF8,7,44275.16,.00041725,7.5,17,341,,,,2024-08-01,,,,,,,
36225ASJ0,9,7734.89,.00005504,9.5,6,353,,,,2024-08-01,,,,,,,
36225ASM3,6,25138.52,.00041428,6.5,18,341,,,,2024-08-01,,,,,,,
36225ASN1,7,43516.42,.00043083,7.5,26,331,,,,2024-08-01,,,,,,,
