cusip,interestrate,remainingbalance,factor,gwac,wam,wala,indicator,istbaelig,cpr,date,cdr,predictedcpr,predictedcprnext,predictedcdr,predictedcdrnext,cprnext,cdrnext
36241KSC3,5,1100662.15,.02591919,5.624,115,235,,,,2024-08-01,,,,,,,
36241KSD1,5.5,4796711.68,.00959332,6,154,197,,,,2024-08-01,,,,,,,
36241KSE9,6,3889462.49,.01483844,6.5,153,196,,,,2024-08-01,,,,,,,
36241KSF6,5.5,10193252.6,.01120131,6,149,200,,,,2024-08-01,,,,,,,
36241KSG4,5.5,8531174.57,.01640594,6,151,199,,,,2024-08-01,,,,,,,
36241KSH2,5.5,1968538.08,.00984244,6,153,201,,,,2024-08-01,,,,,,,
36241KSJ8,5,2113617.08,.00845429,5.5,157,195,,,,2024-08-01,,,,,,,
36241KSK5,5.5,7574818.86,.01415153,6,154,196,,,,2024-08-01,,,,,,,
36241KSL3,5.5,979367.14,.00816105,6,150,199,,,,2024-08-01,,,,,,,
36241KSM1,7,291514.08,.01165823,7.5,155,198,,,,2024-08-01,,,,,,,
36241KSP4,5.5,6203345.52,.01240656,6,152,199,,,,2024-08-01,,,,,,,
36241KSQ2,5.5,8117494.38,.00979434,6,156,195,,,,2024-08-01,,,,,,,
36241KSS8,7,339842.65,.03067448,7.5,61,291,,,,2024-08-01,,,,,,,
36241KSU3,6,1779403.79,.00721996,6.5,139,209,,,,2024-08-01,,,,,,,
36241KSV1,5.5,4421623.93,.0147385,6,150,198,,,,2024-08-01,,,,,,,
36241KSW9,5.5,5389248.19,.01074334,6,151,197,,,,2024-08-01,,,,,,,
36241KSX7,5.5,4535520.58,.01129629,6,155,194,,,,2024-08-01,,,,,,,
36241KSY5,7,194975.13,.01449421,7.5,50,298,,,,2024-08-01,,,,,,,
36241KSZ2,6,10877927.34,.02081977,6.5,148,202,,,,2024-08-01,,,,,,,
36241KS25,5.5,2161645.18,.0086464,6,158,194,,,,2024-08-01,,,,,,,
36241KS33,4.5,582730.74,.02912925,5.119,145,200,,,,2024-08-01,,,,,,,
36241KS41,5.5,1217751.47,.0121769,6,159,195,,,,2024-08-01,,,,,,,
36241KS58,6,2231131.17,.01115537,6.5,145,203,,,,2024-08-01,,,,,,,
36241KS66,5.5,1147888.72,.01147831,6,151,194,,,,2024-08-01,,,,,,,
36241KS74,5.5,835306.22,.00835264,6,154,196,,,,2024-08-01,,,,,,,
36241KS82,5.5,1369860.47,.01369791,6,151,200,,,,2024-08-01,,,,,,,
36241KS90,6,2752221.6,.01376076,6.444,151,197,,,,2024-08-01,,,,,,,
36241KTA6,5.5,2904664.91,.01613657,6,150,200,,,,2024-08-01,,,,,,,
36241KTB4,5.5,6250714.15,.01237752,6,153,195,,,,2024-08-01,,,,,,,
36241KTC2,6,5706359.63,.01080739,6.5,150,201,,,,2024-08-01,,,,,,,
36241KTE8,6,5015137.18,.01337252,6.498,149,200,,,,2024-08-01,,,,,,,
36241KTF5,5.5,1453630.67,.00726797,6,159,195,,,,2024-08-01,,,,,,,
36241KTH1,5.5,1338619.42,.01338552,5.954,150,199,,,,2024-08-01,,,,,,,
36241KTJ7,6,957792.62,.00931794,6.5,152,199,,,,2024-08-01,,,,,,,
36241KTK4,6,1126888.55,.01126832,6.5,148,201,,,,2024-08-01,,,,,,,
36241KTL2,6,4368364.8,.01506078,6.5,153,197,,,,2024-08-01,,,,,,,
36241KTM0,5.5,2513558.62,.00876943,6,157,194,,,,2024-08-01,,,,,,,
36241KTN8,6,3896064,.01401176,6.5,154,196,,,,2024-08-01,,,,,,,
36241KTP3,5.5,3434584.08,.01172408,6,157,195,,,,2024-08-01,,,,,,,
36241KTQ1,5,382908.43,.01533463,5.5,159,194,,,,2024-08-01,,,,,,,
36241KTR9,5.5,5007995.29,.01636573,6,155,195,,,,2024-08-01,,,,,,,
36241KTS7,5.5,8412930.14,.01051609,6,154,194,,,,2024-08-01,,,,,,,
36241KTT5,5,1332915.53,.01777102,5.5,155,195,,,,2024-08-01,,,,,,,
36241KTU2,5.5,3811222.07,.01088905,6,154,194,,,,2024-08-01,,,,,,,
36241KTV0,5.5,601247.62,.02404509,6,96,255,,,,2024-08-01,,,,,,,
36241KTW8,6,3973137.87,.00794619,6.5,147,203,,,,2024-08-01,,,,,,,
36241KTX6,5.5,5538539.35,.01107696,6,157,193,,,,2024-08-01,,,,,,,
36241KTY4,5.5,4860641.18,.01388734,6,157,194,,,,2024-08-01,,,,,,,
36241KTZ1,6,1944766.23,.00683206,6.5,157,195,,,,2024-08-01,,,,,,,
36241KT24,6,1190736.52,.00893993,6.5,146,194,,,,2024-08-01,,,,,,,
36241KT32,6,4367283,.0080132,6.5,159,194,,,,2024-08-01,,,,,,,
36241KT40,5,7244091.19,.01448803,5.5,154,197,,,,2024-08-01,,,,,,,
36241KT57,5,7380908.48,.01476166,5.5,153,196,,,,2024-08-01,,,,,,,
36241KT65,6.5,550672.84,.01101235,7,156,193,,,,2024-08-01,,,,,,,
36241KT73,6,9383255.24,.01325172,6.5,145,204,,,,2024-08-01,,,,,,,
36241KT99,6.5,818342.71,.0148776,7,144,205,,,,2024-08-01,,,,,,,
36241KUA4,4.5,836102.13,.02802547,5.108,113,236,,,,2024-08-01,,,,,,,
36241KUB2,5,1571697.27,.03002629,5.501,98,250,,,,2024-08-01,,,,,,,
36241KUC0,6,431734.21,.00431712,6.5,142,193,,,,2024-08-01,,,,,,,
36241KUD8,7.5,353986.72,.02321472,8,49,301,,,,2024-08-01,,,,,,,
36241KUF3,5.5,812644.18,.00325051,6,156,194,,,,2024-08-01,,,,,,,
36241KUG1,5.5,6864510.31,.02984504,6,105,243,,,,2024-08-01,,,,,,,
36241KUH9,5,1827635.03,.03654904,5.5,100,247,,,,2024-08-01,,,,,,,
36241KUJ5,6.5,655152.61,.04003139,7,64,292,,,,2024-08-01,,,,,,,
36241KUK2,5,3987826.88,.01595098,5.5,153,196,,,,2024-08-01,,,,,,,
36241KUL0,5,3949836.42,.01579902,5.5,157,194,,,,2024-08-01,,,,,,,
36241KUM8,5,5974825.18,.02389882,5.5,157,195,,,,2024-08-01,,,,,,,
36241KUN6,7,677005.51,.03597267,7.5,53,299,,,,2024-08-01,,,,,,,
36241KUQ9,5.5,2263983.49,.0226387,6,136,211,,,,2024-08-01,,,,,,,
36241KUR7,6,9239374.8,.01313963,6.422,150,198,,,,2024-08-01,,,,,,,
36241KUS5,5.5,2046592.11,.02046489,6,127,223,,,,2024-08-01,,,,,,,
36241KUT3,6,5105076,.02335108,6.5,115,232,,,,2024-08-01,,,,,,,
36241KUU0,6,7012820.34,.02366817,6.5,155,193,,,,2024-08-01,,,,,,,
36241KUW6,5.5,1277160.25,.01277096,6,148,203,,,,2024-08-01,,,,,,,
36241KUX4,5.5,1681612.52,.01868354,6,130,219,,,,2024-08-01,,,,,,,
36241KUY2,5.5,6210050.75,.01241997,6,140,208,,,,2024-08-01,,,,,,,
36241KUZ9,5.5,3873086.31,.0516377,6,104,244,,,,2024-08-01,,,,,,,
36241KU22,5.5,8426796.78,.01685342,6,142,206,,,,2024-08-01,,,,,,,
36241KU30,5.5,7940830.28,.0132346,5.932,155,193,,,,2024-08-01,,,,,,,
36241KU48,5.5,1064891.69,.00851879,6,152,194,,,,2024-08-01,,,,,,,
36241KU55,5.5,1160142.2,.01160084,6,152,195,,,,2024-08-01,,,,,,,
36241KU63,5.5,1408034.99,.01407964,6,141,204,,,,2024-08-01,,,,,,,
36241KU71,5.5,2099605.29,.020995,6,136,213,,,,2024-08-01,,,,,,,
36241KU89,5.5,3050472.55,.01016807,6,151,197,,,,2024-08-01,,,,,,,
36241KU97,5.5,1450967.25,.01450894,6,160,193,,,,2024-08-01,,,,,,,
36241KVB1,5,578101.98,.02311945,5.5,136,213,,,,2024-08-01,,,,,,,
36241KVC9,5.5,11739503.14,.0272325,6,110,239,,,,2024-08-01,,,,,,,
36241KVE5,10,.05,0,10.5,4,354,,,,2024-08-01,,,,,,,
36241KVG0,6.5,1324781.69,.00820247,7,146,196,,,,2024-08-01,,,,,,,
36241KVH8,5.5,752025.23,.00751987,6,145,199,,,,2024-08-01,,,,,,,
36241KVJ4,5.5,1864967.67,.01864874,6,126,224,,,,2024-08-01,,,,,,,
36241KVK1,5.5,1185463.19,.01185403,6,152,199,,,,2024-08-01,,,,,,,
36241KVL9,5.5,3807667.29,.01903786,5.994,131,218,,,,2024-08-01,,,,,,,
36241KVM7,5.5,1380975.94,.01380906,5.977,147,202,,,,2024-08-01,,,,,,,
36241KVN5,5.5,1679594.08,.0167951,5.936,140,209,,,,2024-08-01,,,,,,,
36241KVP0,6,1719157.33,.00565276,6.5,153,191,,,,2024-08-01,,,,,,,
36241KVQ8,5.5,20655012.17,.01558862,6,149,199,,,,2024-08-01,,,,,,,
36241KVR6,5.5,15531632.41,.00976829,6,151,198,,,,2024-08-01,,,,,,,
36241KVS4,5.5,2426316.01,.01213127,6,158,195,,,,2024-08-01,,,,,,,
36241KVT2,5.5,2173619.35,.01086782,6,148,201,,,,2024-08-01,,,,,,,
36241KVU9,5.5,13423582.39,.01342351,5.968,153,196,,,,2024-08-01,,,,,,,
36241KVV7,5,1287919.36,.01653192,5.5,159,193,,,,2024-08-01,,,,,,,
36241KVW5,5,1644480.2,.01315531,5.5,152,196,,,,2024-08-01,,,,,,,
36241KVX3,5.5,1329061.6,.01328995,5.971,146,203,,,,2024-08-01,,,,,,,
36241KVY1,5,6617046.95,.01323396,5.504,147,200,,,,2024-08-01,,,,,,,
36241KVZ8,5.5,10171053.01,.01356131,5.947,153,196,,,,2024-08-01,,,,,,,
36241KV21,6,14934770.62,.01177816,6.426,149,199,,,,2024-08-01,,,,,,,
36241KV39,4.5,739984.77,.01469541,5,117,232,,,,2024-08-01,,,,,,,
36241KV47,4.5,1020583.86,.01873295,5,160,195,,,,2024-08-01,,,,,,,
36241KV54,6,11828325.13,.01182826,6.5,156,192,,,,2024-08-01,,,,,,,
36241KV62,5,1159689.71,.01771465,5.5,144,203,,,,2024-08-01,,,,,,,
36241KV70,5,2248636.06,.02984056,5.5,157,195,,,,2024-08-01,,,,,,,
36241KV88,5,645388.91,.01043811,5.5,151,193,,,,2024-08-01,,,,,,,
36241KV96,5,1124583.91,.01674609,5.5,149,201,,,,2024-08-01,,,,,,,
36241KWA2,4.5,1085377.36,.02165738,5,160,195,,,,2024-08-01,,,,,,,
36241KWB0,5,1192456.72,.01472077,5.5,154,198,,,,2024-08-01,,,,,,,
36241KWC8,5,1869395.44,.01780291,5.5,154,198,,,,2024-08-01,,,,,,,
36241KWD6,5.5,1191030.14,.00998337,6,161,190,,,,2024-08-01,,,,,,,
36241KWE4,4.5,859053.29,.0150978,5,132,208,,,,2024-08-01,,,,,,,
36241KWF1,7.5,604436.59,.02399159,8,42,312,,,,2024-08-01,,,,,,,
36241KWG9,5.5,2378276.87,.02378157,6,112,237,,,,2024-08-01,,,,,,,
36241KWH7,6,6668919.77,.0133377,6.5,155,194,,,,2024-08-01,,,,,,,
36241KWJ3,6,8909590.75,.00890954,6.5,154,193,,,,2024-08-01,,,,,,,
36241KWK0,5.5,4854866.74,.00809137,6,159,189,,,,2024-08-01,,,,,,,
36241KWL8,6.5,1230920.65,.00647835,7,159,195,,,,2024-08-01,,,,,,,
36241KWQ7,5.5,18236795.67,.0303944,6,108,240,,,,2024-08-01,,,,,,,
36241KWR5,5.5,6783819.84,.0135675,6,155,196,,,,2024-08-01,,,,,,,
36241KWS3,5.5,8484998.12,.01414154,6,157,193,,,,2024-08-01,,,,,,,
36241KWT1,6.5,2295588.69,.01639647,7,158,191,,,,2024-08-01,,,,,,,
36241KWV6,7,431170.67,.02760936,7.5,65,287,,,,2024-08-01,,,,,,,
36241KWW4,7.5,687124.88,.05020462,8,53,302,,,,2024-08-01,,,,,,,
36241KWX2,5.5,10124506.53,.01265555,6,156,192,,,,2024-08-01,,,,,,,
36241KW20,5.5,9836583.92,.01967297,6,154,196,,,,2024-08-01,,,,,,,
36241KW38,6.5,148185.99,.00583325,7,169,190,,,,2024-08-01,,,,,,,
36241KW46,5.5,5931724.57,.01186333,6,153,196,,,,2024-08-01,,,,,,,
36241KW53,5,1346719.6,.01346652,5.5,158,194,,,,2024-08-01,,,,,,,
36241KW61,6,8010943.71,.00988389,6.5,154,195,,,,2024-08-01,,,,,,,
36241KW79,5.5,1028360.5,.01685698,5.996,138,211,,,,2024-08-01,,,,,,,
36241KW87,5.5,1059900.44,.01059847,6,141,206,,,,2024-08-01,,,,,,,
36241KW95,5,1477574.77,.014775,5.5,157,191,,,,2024-08-01,,,,,,,
36241KXA1,5,9611518.5,.01779894,5.5,158,191,,,,2024-08-01,,,,,,,
36241KXB9,5.5,23162422.96,.01323563,6,150,199,,,,2024-08-01,,,,,,,
36241KXC7,6,18829108.64,.01101477,6.5,151,198,,,,2024-08-01,,,,,,,
36241KXD5,5.5,980331.98,.00980282,6,148,200,,,,2024-08-01,,,,,,,
36241KXE3,5.5,2999358.77,.00999769,6,157,192,,,,2024-08-01,,,,,,,
36241KXF0,5,3488081.4,.01727532,5.5,144,204,,,,2024-08-01,,,,,,,
36241KXG8,5.5,462527.82,.00382238,6,156,188,,,,2024-08-01,,,,,,,
36241KXH6,5,1893707.09,.01893612,5.628,128,220,,,,2024-08-01,,,,,,,
36241KXJ2,7,567217.81,.0463036,7.5,67,284,,,,2024-08-01,,,,,,,
36241KXL7,5,3249186.85,.01624552,5.5,153,196,,,,2024-08-01,,,,,,,
36241KXM5,6,7414945.21,.00988652,6.5,158,192,,,,2024-08-01,,,,,,,
36241KXN3,5,2177367.08,.02177258,5.5,131,218,,,,2024-08-01,,,,,,,
36241KXP8,7,7094200.1,.01418825,7.5,147,199,,,,2024-08-01,,,,,,,
36241KXQ6,5,13189481.8,.01884198,5.5,144,205,,,,2024-08-01,,,,,,,
36241KXR4,5.5,7695174.05,.01539019,6,157,193,,,,2024-08-01,,,,,,,
36241KXS2,5.5,3031198.14,.01515561,6,143,204,,,,2024-08-01,,,,,,,
36241KXT0,5,2162966.23,.02162858,5.5,129,219,,,,2024-08-01,,,,,,,
36241KXU7,6,3280524.97,.00994083,6.5,150,199,,,,2024-08-01,,,,,,,
36241KXV5,5,2431954.04,.02431832,5.5,116,234,,,,2024-08-01,,,,,,,
36241KXW3,5,5785349.61,.01928417,5.5,134,214,,,,2024-08-01,,,,,,,
36241KXX1,6.5,594933.63,.01189748,7,151,199,,,,2024-08-01,,,,,,,
36241KXY9,5.5,40839264.78,.01512562,6,144,204,,,,2024-08-01,,,,,,,
36241KXZ6,5.5,6303930.78,.01260773,6,154,196,,,,2024-08-01,,,,,,,
36241KX29,5,511907.91,.02284285,5.5,104,243,,,,2024-08-01,,,,,,,
36241KX37,6,4742840.69,.00948558,6.5,153,194,,,,2024-08-01,,,,,,,
36241KX60,5,6489870.57,.02163254,5.5,118,231,,,,2024-08-01,,,,,,,
36241KX78,7,962493.3,.01374892,7.5,151,192,,,,2024-08-01,,,,,,,
36241KX86,5,1604750.38,.0160467,5.5,145,207,,,,2024-08-01,,,,,,,
36241KX94,5,9060660.43,.02265136,5.5,134,215,,,,2024-08-01,,,,,,,
36241KYA0,5,1567728.52,.0156765,5.5,164,189,,,,2024-08-01,,,,,,,
36241KYB8,7,1577720.85,.01577641,7.355,150,196,,,,2024-08-01,,,,,,,
36241KYD4,5.5,5845630.28,.01169114,6,151,197,,,,2024-08-01,,,,,,,
36241KYE2,6,6178766.95,.01029785,6.5,152,196,,,,2024-08-01,,,,,,,
36241KYF9,6.5,2507399.94,.01253668,7,156,195,,,,2024-08-01,,,,,,,
36241KYG7,6,2338617.23,.01596761,6.475,136,212,,,,2024-08-01,,,,,,,
36241KYH5,6.5,4071452.95,.01518547,6.892,149,200,,,,2024-08-01,,,,,,,
36241KYJ1,5,8135512.55,.01627086,5.5,149,201,,,,2024-08-01,,,,,,,
36241KYK8,6,3936509.01,.070497,6.5,153,193,,,,2024-08-01,,,,,,,
36241KYL6,6,2033017.02,.04277355,6.5,159,189,,,,2024-08-01,,,,,,,
36241KYM4,6,1360564.07,.02712037,6.5,161,192,,,,2024-08-01,,,,,,,
36241KYN2,6,5043424.08,.02040479,6.5,158,192,,,,2024-08-01,,,,,,,
36241KYP7,5,4705155.46,.01568359,5.5,142,206,,,,2024-08-01,,,,,,,
36241KYQ5,5,1675923.56,.01675839,5.5,150,202,,,,2024-08-01,,,,,,,
36241KYR3,5.5,5972603.79,.01194508,6,138,206,,,,2024-08-01,,,,,,,
36241KYS1,4.5,3118243.79,.03118087,5,96,252,,,,2024-08-01,,,,,,,
36241KYT9,7,571899.15,.02091449,7.5,157,191,,,,2024-08-01,,,,,,,
36241KYU6,5,2568415.73,.02950524,5.5,105,243,,,,2024-08-01,,,,,,,
36241KYV4,5,2521525.41,.01224011,5.5,152,193,,,,2024-08-01,,,,,,,
36241KYW2,5,461001.9,.03291695,5.5,100,250,,,,2024-08-01,,,,,,,
36241KYX0,5.5,9284743.36,.02509356,6,124,226,,,,2024-08-01,,,,,,,
36241KYY8,5,1545844.96,.02179744,5.591,118,230,,,,2024-08-01,,,,,,,
36241KYZ5,5,14757000.1,.01711939,5.5,154,194,,,,2024-08-01,,,,,,,
36241KY28,5,2779951.65,.02604743,5.5,107,239,,,,2024-08-01,,,,,,,
36241KY44,5.5,1257881.74,.01257818,6,151,197,,,,2024-08-01,,,,,,,
36241KY51,6,604734.63,.00604704,6.5,147,201,,,,2024-08-01,,,,,,,
36241KY69,5.5,1267998.48,.01267935,6.062,143,207,,,,2024-08-01,,,,,,,
36241KY77,6.5,3140881.84,.05098709,7,148,198,,,,2024-08-01,,,,,,,
36241KY85,4.5,2019829.57,.02524629,5,99,248,,,,2024-08-01,,,,,,,
36241KY93,4.5,2007324.9,.02007224,5,135,208,,,,2024-08-01,,,,,,,
36241KZA9,5.5,4723947.52,.0094478,6,153,197,,,,2024-08-01,,,,,,,
36241KZB7,4.5,1089855.76,.02724298,5,123,223,,,,2024-08-01,,,,,,,
36241KZC5,5.5,3849373.63,.01539718,6,157,193,,,,2024-08-01,,,,,,,
36241KZD3,5,555262.31,.01387982,5.5,165,187,,,,2024-08-01,,,,,,,
36241KZE1,4.5,1454033.13,.0145396,5,156,187,,,,2024-08-01,,,,,,,
36241KZF8,4.5,1128078.75,.0141001,5,143,205,,,,2024-08-01,,,,,,,
36241KZG6,5,3893966.95,.01769944,5.5,161,187,,,,2024-08-01,,,,,,,
36241KZH4,7,55741.95,.0042232,7.5,42,315,,,,2024-08-01,,,,,,,
36241KZK7,7.5,533773.57,.04632055,8,64,284,,,,2024-08-01,,,,,,,
36241KZL5,7.5,834359.03,.0535339,8,72,280,,,,2024-08-01,,,,,,,
36241KZM3,4.5,727948.94,.02147025,5,152,197,,,,2024-08-01,,,,,,,
36241KZN1,4.5,1983837.57,.01889279,5.032,146,199,,,,2024-08-01,,,,,,,
36241KZP6,5,5589890.31,.01668599,5.549,156,194,,,,2024-08-01,,,,,,,
36241KZQ4,5.5,2921799.92,.01168696,6,150,195,,,,2024-08-01,,,,,,,
36241KZR2,5,8538104.8,.02995773,5.5,160,190,,,,2024-08-01,,,,,,,
36241KZS0,4.5,4793456.96,.03195531,5,165,186,,,,2024-08-01,,,,,,,
36241KZV3,5.5,2084481.43,.02084377,6,158,193,,,,2024-08-01,,,,,,,
36241KZW1,5,15054222.02,.03010814,5.5,117,232,,,,2024-08-01,,,,,,,
36241KZX9,6,2630991.52,.03824413,6.5,156,190,,,,2024-08-01,,,,,,,
36241KZY7,6.5,2389269.61,.01194604,7,151,200,,,,2024-08-01,,,,,,,
36241KZZ4,5.5,3652558.43,.01378297,6,159,191,,,,2024-08-01,,,,,,,
36241KZ27,6.5,1256292.9,.0129508,7,153,193,,,,2024-08-01,,,,,,,
36241KZ35,5,11340009.32,.01889985,5.5,166,187,,,,2024-08-01,,,,,,,
36241KZ43,5,10816464.58,.02163271,5.5,162,186,,,,2024-08-01,,,,,,,
36241KZ50,5,11863928.2,.02281502,5.5,162,188,,,,2024-08-01,,,,,,,
36241KZ68,5,13845353.03,.02307539,5.5,125,225,,,,2024-08-01,,,,,,,
36241KZ92,5,2029671.35,.02029569,5.5,158,192,,,,2024-08-01,,,,,,,
36241K2A5,5.5,2371198.19,.01185569,6,157,195,,,,2024-08-01,,,,,,,
36241K2B3,5.5,5411978.35,.01082384,6,149,195,,,,2024-08-01,,,,,,,
36241K2C1,5,16582947.42,.0243865,5.5,154,195,,,,2024-08-01,,,,,,,
36241K2D9,5,1594362.05,.01594282,5.567,155,194,,,,2024-08-01,,,,,,,
36241K2E7,6.5,2594376.33,.01005552,7,148,199,,,,2024-08-01,,,,,,,
36241K2F4,5,2457732.1,.022342,5.5,157,190,,,,2024-08-01,,,,,,,
36241K2G2,4.5,10249278.8,.02049835,5,163,186,,,,2024-08-01,,,,,,,
36241K2H0,4.5,2794429.96,.02328594,5,164,186,,,,2024-08-01,,,,,,,
36241K2J6,5,13297101.8,.0255711,5.5,152,199,,,,2024-08-01,,,,,,,
36241K2K3,5.5,6572269.12,.0131444,6,149,200,,,,2024-08-01,,,,,,,
36241K2L1,5.5,710514.1,.00710478,6,155,196,,,,2024-08-01,,,,,,,
36241K2M9,5.5,2936167.16,.01468046,6,162,187,,,,2024-08-01,,,,,,,
36241K2N7,5.5,3069077.42,.01022861,6,151,198,,,,2024-08-01,,,,,,,
36241K2P2,5.5,639963.33,.00639931,6,156,189,,,,2024-08-01,,,,,,,
36241K2Q0,5.5,1484264.16,.01484189,5.958,152,198,,,,2024-08-01,,,,,,,
36241K2R8,5,1332556.07,.01332489,5.5,165,187,,,,2024-08-01,,,,,,,
36241K2S6,5.5,1368868.48,.01366699,6,155,193,,,,2024-08-01,,,,,,,
36241K2U1,6.5,1249268.42,.01542211,7,153,197,,,,2024-08-01,,,,,,,
36241K2V9,5,1486840.9,.01486766,5.563,150,198,,,,2024-08-01,,,,,,,
36241K2W7,5,3573584.01,.06633778,5.5,164,186,,,,2024-08-01,,,,,,,
36241K2X5,5,10669230.19,.01975765,5.5,163,187,,,,2024-08-01,,,,,,,
36241K2Y3,5,3979596.76,.07058527,5.5,157,185,,,,2024-08-01,,,,,,,
36241K2Z0,5,1471023.44,.02941752,5.5,168,186,,,,2024-08-01,,,,,,,
36241K3D8,5,20664999.31,.02402892,5.5,165,186,,,,2024-08-01,,,,,,,
36241K3E6,5.5,7589682.99,.01517921,6,144,204,,,,2024-08-01,,,,,,,
36241K3F3,5,1811062.16,.01810971,5.505,160,189,,,,2024-08-01,,,,,,,
36241K3G1,5,9282229.23,.02730027,5.5,164,186,,,,2024-08-01,,,,,,,
36241K3H9,5,3600941.77,.03600761,5.5,165,185,,,,2024-08-01,,,,,,,
36241K3J5,5.5,2777775.94,.01388853,6,151,199,,,,2024-08-01,,,,,,,
36241K3M8,5.5,2646901.56,.01931974,6,156,187,,,,2024-08-01,,,,,,,
36241K3P1,6.5,678560.37,.05264858,7,116,234,,,,2024-08-01,,,,,,,
36241K3Q9,5,5130761.18,.0184796,5.5,160,188,,,,2024-08-01,,,,,,,
36241K3R7,5,1793076.45,.01724029,5.536,155,194,,,,2024-08-01,,,,,,,
36241K3S5,5,1698476.76,.01698391,5.5,162,186,,,,2024-08-01,,,,,,,
36241K3T3,5,1803913.53,.01803823,5.5,163,185,,,,2024-08-01,,,,,,,
36241K3U0,5.5,3571936.62,.01355816,5.99,156,193,,,,2024-08-01,,,,,,,
36241K3V8,5.5,5484024.48,.00913996,6,163,187,,,,2024-08-01,,,,,,,
36241K3Y2,7,3148825.66,.03849753,7.5,70,281,,,,2024-08-01,,,,,,,
36241K3Z9,6.5,590560.38,.02555912,7,41,313,,,,2024-08-01,,,,,,,
36241K4A3,6.5,1939823.33,.05188914,7,83,267,,,,2024-08-01,,,,,,,
36241K4C9,5,20470699.51,.03411754,5.5,162,184,,,,2024-08-01,,,,,,,
36241K4D7,5,4920499.6,.02460188,5.5,164,185,,,,2024-08-01,,,,,,,
36241K4G0,4,8043415.35,.04021607,4.5,160,185,,,,2024-08-01,,,,,,,
36241K4H8,5,12568726.55,.0209477,5.5,164,187,,,,2024-08-01,,,,,,,
36241K4J4,5,32373768.18,.05886086,5.5,163,184,,,,2024-08-01,,,,,,,
36241K4K1,4.5,3629473.18,.03629291,5,167,185,,,,2024-08-01,,,,,,,
36241K4L9,5,2661036.54,.02217438,5.5,160,187,,,,2024-08-01,,,,,,,
36241K4M7,4,15392557.95,.061569,4.5,163,185,,,,2024-08-01,,,,,,,
36241K4N5,4.5,1686364.21,.01686279,5,158,187,,,,2024-08-01,,,,,,,
36241K4P0,4.5,2320789.56,.02320673,5,162,185,,,,2024-08-01,,,,,,,
36241K4Q8,4.5,1807795.06,.01807704,5,163,185,,,,2024-08-01,,,,,,,
36241K4R6,5,11478718.85,.01996281,5.5,166,184,,,,2024-08-01,,,,,,,
36241K4S4,5,7772323.22,.0152397,5.5,160,191,,,,2024-08-01,,,,,,,
36241K4T2,5,7734892.57,.02762412,5.5,165,186,,,,2024-08-01,,,,,,,
36241K4U9,5,6080777.66,.01897146,5.5,165,184,,,,2024-08-01,,,,,,,
36241K4W5,5.5,2929300.3,.02662879,6,163,184,,,,2024-08-01,,,,,,,
36241K4X3,5,1020143.42,.02040082,5.5,164,186,,,,2024-08-01,,,,,,,
36241K4Y1,5.5,4227274.08,.00768588,6,158,191,,,,2024-08-01,,,,,,,
36241K4Z8,5,1363856.79,.01363788,5.5,155,192,,,,2024-08-01,,,,,,,
36241K5A2,5,949784.39,.02350021,5.5,123,227,,,,2024-08-01,,,,,,,
36241K5B0,7,718111.01,.02050742,7.5,158,191,,,,2024-08-01,,,,,,,
36241K5C8,5.5,3137199.67,.07399945,6,157,185,,,,2024-08-01,,,,,,,
36241K5D6,5,5537594.28,.00988847,5.5,166,184,,,,2024-08-01,,,,,,,
36241K5E4,5,1673058.78,.01672975,5.5,162,190,,,,2024-08-01,,,,,,,
36241K5F1,5,1585660.86,.01585581,5.5,159,189,,,,2024-08-01,,,,,,,
36241K5H7,5,6672706.46,.01668155,5.5,165,185,,,,2024-08-01,,,,,,,
36241K5J3,5,3278425.57,.02048951,5.5,166,185,,,,2024-08-01,,,,,,,
36241K5M6,5,5461031.59,.02730447,5.5,165,186,,,,2024-08-01,,,,,,,
36241K5P9,5,9432579.55,.01886497,5.5,166,184,,,,2024-08-01,,,,,,,
36241K5Q7,5.5,5770637.38,.01154115,6,148,199,,,,2024-08-01,,,,,,,
36241K5T1,5.5,1454683.97,.01454611,5.94,156,192,,,,2024-08-01,,,,,,,
36241K5U8,5,3296778.81,.02126885,5.5,161,189,,,,2024-08-01,,,,,,,
36241K5V6,5,4069900.37,.02543608,5.5,163,188,,,,2024-08-01,,,,,,,
36241K5W4,5,4728158.83,.01891225,5.5,163,186,,,,2024-08-01,,,,,,,
36241K5X2,5.5,6180633,.01236114,6,153,195,,,,2024-08-01,,,,,,,
36241K5Y0,5,8824965.26,.01764975,5.5,168,183,,,,2024-08-01,,,,,,,
36241K5Z7,5,10998378.37,.02199653,5.5,163,187,,,,2024-08-01,,,,,,,
36241K6A1,5,14525370.39,.01936703,5.5,165,185,,,,2024-08-01,,,,,,,
36241K6C7,4,3368257.08,.03184901,4.5,162,184,,,,2024-08-01,,,,,,,
36241K6F0,4.5,2219054.82,.02218943,5,166,182,,,,2024-08-01,,,,,,,
36241K6H6,5.5,2620855.56,.01310395,6,142,205,,,,2024-08-01,,,,,,,
36241K6J2,4,5341457.12,.06676404,4.5,168,183,,,,2024-08-01,,,,,,,
36241K6P8,4.5,1930993.39,.01930896,5,168,182,,,,2024-08-01,,,,,,,
36241K6Q6,4.5,6293977.76,.0314691,5,165,182,,,,2024-08-01,,,,,,,
