cmo,cusip,faceincmo,date
2024-142-14,3618HYMS9, 25000.00,2024-09-01
2024-142-14,3618HYU84, 25000.00,2024-09-01
2024-142-14,3618J1D42, 2213198.00,2024-09-01
2024-142-14,3618J1FJ7, 1200817.00,2024-09-01
2024-142-14,3618J2E80, 25000.00,2024-09-01
2024-142-14,3618J3N88, 25000.00,2024-09-01
2024-142-14,3618J66M9, 6355878.00,2024-09-01
2024-142-14,3618J6W65, 5700384.00,2024-09-01
2024-142-14,3618J7BL3, 1725638.00,2024-09-01
2024-142-14,3618J9R99, 3714413.00,2024-09-01
2024-142-14,3618JAH22, 2104951.00,2024-09-01
2024-142-14,3618JALG6, 499561.00,2024-09-01
2024-142-14,3618JCPG8, 25000.00,2024-09-01
2024-142-14,3618JEMB8, 2607717.00,2024-09-01
2024-142-14,3618JEMC6, 2130933.00,2024-09-01
2024-142-14,3618JEMD4, 1495978.00,2024-09-01
2024-142-14,3618JKA35, 1164027.00,2024-09-01
2024-142-15,36179YHU1, 309868101.00,2024-09-01
2024-142-16,36179YHU1, 116127854.00,2024-09-01
2024-142-T,36180AAD5, 50000.00,2024-09-01
2024-143-1,3618GQHR5, 1397884.00,2024-09-01
2024-143-1,3618GQH95, 950098.00,2024-09-01
2024-143-1,3618GQ6Z9, 1019411.00,2024-09-01
2024-143-1,3618H8VJ6, 1088223.00,2024-09-01
2024-143-1,3618H8ZX1, 1263805.00,2024-09-01
2024-143-1,3618HAJM8, 6518574.00,2024-09-01
2024-143-1,3618HALE3, 5663220.00,2024-09-01
2024-143-1,3618HALQ6, 8374680.00,2024-09-01
2024-143-1,3618HALU7, 9307960.00,2024-09-01
2024-143-1,3618HAP74, 6476983.00,2024-09-01
2024-143-1,3618HAVY8, 1009394.00,2024-09-01
2024-143-1,3618HA6B6, 1051186.00,2024-09-01
2024-143-1,3618HA6H3, 9899349.00,2024-09-01
2024-143-1,3618HEJA6, 938161.00,2024-09-01
2024-143-1,3618HEJC2, 5318927.00,2024-09-01
2024-143-1,3618HGMB5, 1360415.00,2024-09-01
2024-143-1,3618HJRK4, 942967.00,2024-09-01
2024-143-1,3618HJR32, 1059836.00,2024-09-01
2024-143-1,3618HMBK4, 1128337.00,2024-09-01
2024-143-1,3618HMHN2, 4597971.00,2024-09-01
2024-143-1,3618HMPA1, 3300579.00,2024-09-01
2024-143-1,3618HMPD5, 1468125.00,2024-09-01
2024-143-1,3618HNKF3, 944766.00,2024-09-01
2024-143-1,3618HPGV8, 1396393.00,2024-09-01
2024-143-1,3618HPGX4, 1363334.00,2024-09-01
2024-143-1,3618HQPU8, 1220147.00,2024-09-01
2024-143-1,3618HQ5C0, 3296594.00,2024-09-01
2024-143-1,3618HQ5D8, 6349436.00,2024-09-01
2024-143-1,3618HQ5E6, 6313541.00,2024-09-01
2024-143-1,3618HRC97, 1013485.00,2024-09-01
2024-143-1,3618HSAY2, 1342797.00,2024-09-01
2024-143-1,3618HSEV4, 1390258.00,2024-09-01
2024-143-1,3618HSEW2, 2422017.00,2024-09-01
2024-143-1,3618HSEY8, 1346632.00,2024-09-01
2024-143-1,3618HSE36, 1598835.00,2024-09-01
2024-143-1,3618HSLW4, 945089.00,2024-09-01
2024-143-1,3618HSSY3, 2619675.00,2024-09-01
2024-143-1,3618HSS23, 1079502.00,2024-09-01
2024-143-1,3618HST89, 1749842.00,2024-09-01
2024-143-1,3618HUEM9, 3809177.00,2024-09-01
2024-143-1,3618HVE62, 942980.00,2024-09-01
2024-143-1,3618HXJH9, 4585380.00,2024-09-01
2024-143-1,3618J0P66, 1064281.00,2024-09-01
2024-143-1,3618J2HL8, 2592069.00,2024-09-01
2024-143-1,3618J6LF7, 2033611.00,2024-09-01
2024-143-2,3622ADBR8, 5000000.00,2024-09-01
2024-143-2,3618H72C5, 5227683.00,2024-09-01
2024-143-2,3618H72D3, 3893762.00,2024-09-01
2024-143-2,3618H72E1, 5745609.00,2024-09-01
2024-143-2,3618H8BC3, 1247963.00,2024-09-01
2024-143-2,3618HHEU0, 3743255.00,2024-09-01
2024-143-2,3618HL2N0, 1057033.00,2024-09-01
2024-143-2,3618HL4U2, 4659363.00,2024-09-01
2024-143-2,3618HN5G8, 1715279.00,2024-09-01
2024-143-2,3618HSTH9, 8392670.00,2024-09-01
2024-143-2,3618HSVU7, 10199099.00,2024-09-01
2024-143-2,3618HSW93, 10244028.00,2024-09-01
2024-143-2,3618J0KS3, 1649071.00,2024-09-01
2024-143-2,3618J0QA6, 1653287.00,2024-09-01
2024-143-2,3618J0UJ2, 4348945.00,2024-09-01
2024-143-2,3618J0UL7, 9291419.00,2024-09-01
2024-143-2,3618J2RU7, 16201741.00,2024-09-01
2024-143-2,3618J2RV5, 3374511.00,2024-09-01
2024-143-2,3618J2RW3, 3184209.00,2024-09-01
2024-143-2,3618J2S69, 14735165.00,2024-09-01
2024-143-2,3618J2S77, 4004805.00,2024-09-01
2024-143-2,3618J2S85, 2878582.00,2024-09-01
2024-143-2,3618J2WS6, 2921539.00,2024-09-01
2024-143-2,3618J2WW7, 2364055.00,2024-09-01
2024-143-2,3618J6KG6, 2901562.00,2024-09-01
2024-143-2,3618J9W85, 1008826.00,2024-09-01
2024-143-2,3618J9XB7, 2774845.00,2024-09-01
2024-143-3,3618H2A37, 4791810.00,2024-09-01
2024-143-3,3618H5R81, 5094606.00,2024-09-01
2024-143-3,3618HCX89, 1327092.00,2024-09-01
2024-143-3,3618HHS27, 2739267.00,2024-09-01
2024-143-3,3618HHS35, 2493158.00,2024-09-01
2024-143-3,36179YYY4, 500000.00,2024-09-01
2024-143-4,38378FVC1, 43700000.00,2024-09-01
2024-143-4,38378FXG0, 56409531.00,2024-09-01
2024-143-4,38378MRH0, 87523571.00,2024-09-01
2024-143-4,38379QKP9, 60107142.00,2024-09-01
2024-143-4,38379QMX0, 95733000.00,2024-09-01
2024-143-4,38379FY60, 69201608.00,2024-09-01
2024-143-4,38379YFD5, 158935000.00,2024-09-01
2024-143-4,38380K2D6, 21645949.00,2024-09-01
2024-143-5,3618H0M38, 31059256.00,2024-09-01
2024-143-T,36180AAC7, 50000.00,2024-09-01
2024-144-1,3618GQK67, 4378649.00,2024-09-01
2024-144-1,3618GQLM1, 3343911.00,2024-09-01
2024-144-1,3618GRMH9, 2431306.00,2024-09-01
2024-144-1,3618GRMP1, 3542625.00,2024-09-01
2024-144-1,3618H8QU7, 1068620.00,2024-09-01
2024-144-1,3618HEXJ1, 679070.00,2024-09-01
2024-144-1,3618HEXS1, 3355643.00,2024-09-01
2024-144-1,3618HHH29, 1451823.00,2024-09-01
2024-144-1,3618HHPH7, 4702444.00,2024-09-01
2024-144-1,3618HHPK0, 6323684.00,2024-09-01
2024-144-1,3618HMQ51, 15646485.00,2024-09-01
2024-144-1,3618HMQ69, 13839618.00,2024-09-01
2024-144-1,3618HMQ77, 9865410.00,2024-09-01
2024-144-1,3618HNK48, 1036518.00,2024-09-01
2024-144-1,3618HN4W4, 1944581.00,2024-09-01
2024-144-1,3618HN4Y0, 1982264.00,2024-09-01
2024-144-1,3618HSLG9, 1500283.00,2024-09-01
2024-144-1,3618HTG73, 1453917.00,2024-09-01
2024-144-1,3618HUVC2, 11140666.00,2024-09-01
2024-144-1,3618HVCH0, 1477268.00,2024-09-01
2024-144-1,3618HYG56, 1036151.00,2024-09-01
2024-144-1,3618HYYQ0, 1075719.00,2024-09-01
2024-144-1,3618J1RH8, 1184892.00,2024-09-01
2024-144-1,3618J2FH9, 1902893.00,2024-09-01
2024-144-1,3618J9BA3, 4920702.00,2024-09-01
2024-144-2A,3618B3DS3, 590484.00,2024-09-01
2024-144-2A,3618BMFS9, 488788.00,2024-09-01
2024-144-2A,3618BMGN9, 1229294.00,2024-09-01
2024-144-2A,3618BMHB4, 1025039.00,2024-09-01
2024-144-2A,3618BVMM4, 542574.00,2024-09-01
2024-144-2A,3618F1ZX8, 610705.00,2024-09-01
2024-144-2A,3618F4YA3, 1385716.00,2024-09-01
2024-144-2A,3618F9NP1, 514831.00,2024-09-01
2024-144-2A,3618FBDA0, 523685.00,2024-09-01
2024-144-2A,3618FDJR3, 859354.00,2024-09-01
2024-144-2A,3618FEG52, 469161.00,2024-09-01
2024-144-2A,3618FEJ83, 694990.00,2024-09-01
2024-144-2A,3618FFWA0, 1121352.00,2024-09-01
2024-144-2A,3618FF5W2, 2387540.00,2024-09-01
2024-144-2A,3618FH7F3, 1134933.00,2024-09-01
2024-144-2A,3618FLUX9, 600808.00,2024-09-01
2024-144-2A,3618FPMP6, 783430.00,2024-09-01
2024-144-2A,3618FRFZ8, 541578.00,2024-09-01
2024-144-2A,3618FSGV4, 490142.00,2024-09-01
