asofdate,cusip,currentfacevalue,isaggregated
2024-10-02,3140XQL88,6206230582.96,True
2024-10-02,3140XPYJ2,6140986193.59,True
2024-10-02,3132DSEV0,6028792418.33,True
2024-10-02,36179WDR6,5967206966.87,False
2024-10-02,3132DTNK2,5944696182.72,True
2024-10-02,36179VVY3,5905706692.58,False
2024-10-02,3132CXGM8,5871898669.75,True
2024-10-02,36179WVT2,5806992627.12,False
2024-10-02,3132CXLM2,5712805463.62,True
2024-10-02,3132CXMA7,5487339623.86,True
2024-10-02,3132DSEU2,5459243885.59,True
2024-10-02,3140XQMA2,5376963581.87,True
2024-10-02,3140XQVZ7,5349925806.80,True
2024-10-02,36179WG28,5205191796.02,False
2024-10-02,3132DWBN2,5135852649.84,False
2024-10-02,3140XN7E8,4966925132.53,True
2024-10-02,3140XM6S0,4926456095.81,True
2024-10-02,3132DSMN9,4907906098.03,True
2024-10-02,3132CXGN6,4894640025.15,True
2024-10-02,3132AAXQ2,4886461879.84,False
2024-10-02,3140XMNQ5,4872965152.12,True
2024-10-02,3132AETL0,4859153119.68,False
2024-10-02,3132AETM8,4855489436.07,False
2024-10-02,3140XPHU6,4784366935.23,True
2024-10-02,3138ETKG0,4743261429.11,True
2024-10-02,3132DSMP4,4736559969.45,True
2024-10-02,3140XN7F5,4601391531.89,True
2024-10-02,3132AEST4,4588628594.88,False
2024-10-02,3140XQ6Q5,4489332726.00,True
2024-10-02,36179XBU9,4394811745.21,False
2024-10-02,36179VKK5,4326574311.45,False
2024-10-02,36179V7E4,4303783378.72,False
2024-10-02,3132E0V90,4296240836.47,True
2024-10-02,3140XM6R2,4269589744.91,True
2024-10-02,36179VKL3,4256489457.89,False
2024-10-02,3132E06Q0,4241744440.46,True
2024-10-02,36179WLP1,4208978672.81,False
2024-10-02,36179WXJ2,4197989220.15,False
2024-10-02,3132CXEH1,4174104811.37,True
2024-10-02,36179WFF0,4103229865.17,False
2024-10-02,3140XN7G3,4100128049.05,True
2024-10-02,36179WNE4,4034749012.38,False
2024-10-02,3132AES72,4030408795.97,False
2024-10-02,3140XPYN3,4025363007.79,True
2024-10-02,36179VVX5,3999076999.16,False
2024-10-02,36179WBY3,3903271379.72,False
2024-10-02,3132E0PX4,3876058335.54,True
2024-10-02,3132CXEL2,3854229304.33,True
2024-10-02,36179WVU9,3832934672.10,False
2024-10-02,3140XN7D0,3628805127.24,True
2024-10-02,36179XBT2,3622393203.36,False
2024-10-02,3132CXEG3,3605108259.47,True
2024-10-02,3140XPYK9,3593872488.08,True
2024-10-02,3140X5R70,3471057790.66,True
2024-10-02,36179WLN6,3442519783.08,False
2024-10-02,3140XPYQ6,3425169937.93,True
2024-10-02,36179WY93,3409947022.06,False
2024-10-02,36179VMD9,3370476710.34,False
2024-10-02,31418DYY2,3353237706.79,False
2024-10-02,3132E06R8,3092746296.86,True
2024-10-02,3132CXB43,2997315008.06,True
2024-10-02,3140XNJF2,2943403488.12,True
2024-10-02,3140XNJD7,2905107763.28,True
2024-10-02,3140XNRX4,2798512768.74,True
2024-10-02,3132AESK3,2691643138.04,False
2024-10-02,3132DV6Q3,2661428867.10,False
2024-10-02,36179W2V9,2627368398.59,False
2024-10-02,3132DQ7J9,2583034853.74,True
2024-10-02,3132AEMU7,2494380552.42,False
2024-10-02,3132DSTE2,2492518509.87,True
2024-10-02,36179VTV2,2478139992.79,False
2024-10-02,36179WR26,2459238128.47,False
2024-10-02,3132AAYM0,2425779416.41,False
2024-10-02,36179WQA9,2300681731.08,False
2024-10-02,3622AAEY6,2283182829.38,True
2024-10-02,36179SLR6,2259217577.90,False
2024-10-02,3132D6A42,2239123037.11,False
2024-10-02,36179W7M4,2238001677.97,False
2024-10-02,36179W7L6,2166563947.75,False
2024-10-02,36179W2W7,2158085261.57,False
2024-10-02,36179VFP0,2132517410.39,False
2024-10-02,36179XDD5,2120868108.44,False
2024-10-02,3140XPH36,2115034888.52,True
2024-10-02,36179WZA9,2111683175.66,False
2024-10-02,36179WY85,2101830306.46,False
2024-10-02,36179M2P4,2064413572.96,False
2024-10-02,3132DWEC3,2060687489.16,False
2024-10-02,36179VHS2,2031153894.30,False
2024-10-02,36179W5D6,2023666190.84,False
2024-10-02,3138ETK54,2000424249.07,True
2024-10-02,36179WXH6,1994805984.09,False
