cusip,name,indicator,type,issuedate,maturitydate,originalface,istbaelig
3618HSRE8,DD0485,C,SF,20241001,20541020,1001530,False
3618HTAB0,DD0902,C,SF,20241001,20541020,1146504,False
3618HTAC8,DD0903,C,SF,20241001,20541020,2419479,False
3618HTAV6,DD0920,C,SF,20241001,20541020,3092459,False
3618HTAW4,DD0921,C,SF,20241001,20541020,2127254,False
3618HTAX2,DD0922,C,SF,20241001,20541020,1082064,False
3618HTAY0,DD0923,C,SF,20241001,20541020,1188949,False
3618HTAZ7,DD0924,C,SF,20241001,20541020,1291206,False
3618HTVE1,DD1513,C,SF,20241001,20541020,2099400,False
3618HVA41,DD2727,C,SF,20241001,20540920,1924728,False
3618HVA66,DD2729,C,SF,20241001,20540920,2189882,False
3618HVA82,DD2731,C,SF,20241001,20540920,2896977,False
3618HWMZ7,DD3976,X,SF,20241001,20540715,195841,False
3618HWM20,DD3977,X,SF,20241001,20540815,294005,True
3618HWM38,DD3978,X,SF,20241001,20540915,277513,True
3618HWM46,DD3979,X,SF,20241001,20540915,227045,False
3618HWM53,DD3980,C,SF,20241001,20540720,252554,False
3618HWM61,DD3981,C,SF,20241001,20540920,2367240,False
3618HWM79,DD3982,C,SF,20241001,20540920,539150,False
3618HWM87,DD3983,C,SF,20241001,20540920,194239,False
3618HWM95,DD3984,C,SF,20241001,20540920,7053190,False
3618HWNA1,DD3985,C,SF,20241001,20540920,988619,False
3618HWNB9,DD3986,C,SF,20241001,20541020,14422060,False
3618HWNC7,DD3987,C,SF,20241001,20540920,5345382,False
3618HWND5,DD3988,C,SF,20241001,20540920,2462886,False
3618HWNE3,DD3989,C,SF,20241001,20540720,781478,False
3618HWNF0,DD3990,C,SF,20241001,20540920,1369533,False
3618HWNG8,DD3991,C,SF,20241001,20541020,1192280,False
3618HWNH6,DD3992,C,SF,20241001,20541020,1222457,False
3618HXKH7,DD4796,C,ET,20241001,20640920,1644996,False
3618HXKJ3,DD4797,C,SF,20241001,20541020,1049210,False
3618HXKK0,DD4798,C,SF,20241001,20541020,1993627,False
3618HXKL8,DD4799,C,ET,20241001,20641020,1898190,False
3618HXKM6,DD4800,C,SF,20241001,20541020,2555850,False
3618HXKN4,DD4801,C,SF,20241001,20541020,1922670,False
3618HXKP9,DD4802,C,SF,20241001,20541020,3407754,False
3618HXKQ7,DD4803,C,SF,20241001,20541020,4054553,False
3618HXKR5,DD4804,C,SF,20241001,20541020,1036313,False
3618HXKS3,DD4805,C,SF,20241001,20541020,1423693,False
3618HXKT1,DD4806,C,SF,20241001,20541020,5164761,False
3618HXKU8,DD4807,C,SF,20241001,20541020,2545392,False
3618HXKV6,DD4808,C,SF,20241001,20541020,2303726,False
3618HXKW4,DD4809,C,SF,20241001,20541020,5238050,False
3618HXKX2,DD4810,C,SF,20241001,20541020,2359853,False
3618HXKY0,DD4811,C,SF,20241001,20541020,1816396,False
3618HXKZ7,DD4812,C,SF,20241001,20541020,7246941,False
3618HXYS8,DD5221,C,SF,20241001,20541020,1119575,False
3618HYH22,DD5649,C,ET,20241001,20640920,2045300,False
3618HYMG5,DD5759,C,SF,20241001,20541020,1008457,False
3618HYMH3,DD5760,C,SF,20241001,20541020,2130893,False
3618HYMJ9,DD5761,C,SF,20241001,20541020,1013209,False
3618HYXV0,DD6092,C,SF,20241001,20541020,1822406,False
3618HYXW8,DD6093,C,SF,20241001,20541020,2808209,False
3618HYXX6,DD6094,C,SF,20241001,20541020,4909061,False
3618HYX24,DD6097,C,SF,20241001,20541020,16050688,False
