3618FFFJ0, CW6469C, 1182593.00, 1A, GNR 2023-183
3618FYZA6, CY0737C, 3892581.00, 1A, GNR 2023-183
3618F5E79, CV8258C, 2256615.00, 1A, GNR 2023-183
3618F45S6, CV8057C, 1119784.00, 1A, GNR 2023-183
3618FV2G5, CX8875C, 1692558.00, 1A, GNR 2023-183
3618G1CY0, CY1887C, 1999533.00, 1A, GNR 2023-183
3618G92R9, CY9784C, 1025052.00, 1A, GNR 2023-183
3618G7X40, CY7899C, 2021366.00, 1A, GNR 2023-183
3618G1KW5, CY2109C, 1057600.00, 1A, GNR 2023-183
3618G2AW4, CY2721C, 1347428.00, 1A, GNR 2023-183
3618G6KU8, CY6607C, 1774294.00, 1A, GNR 2023-183
3618F45T4, CV8058C, 1636935.00, 1A, GNR 2023-183
3618F9R28, CW1405C, 1197006.00, 1A, GNR 2023-183
3618F9YM6, CW1616C, 1032801.00, 1A, GNR 2023-183
3618G15K8, CY2650C, 2292497.00, 1A, GNR 2023-183
3618GETD0, CZ3248C, 2565052.00, 1A, GNR 2023-183
3618F9V72, CW1538C, 1126653.00, 1A, GNR 2023-183
3618FGBU7, CW7251C, 1070636.00, 1A, GNR 2023-183
3618F5E61, CV8257C, 4600640.00, 1A, GNR 2023-183
3618FYY90, CY0736C, 2643005.00, 1A, GNR 2023-183
3618G7Y72, CY7934C, 1251489.00, 1A, GNR 2023-183
3618BXRK9, CV2290C, 1405327.00, 1A, GNR 2023-183
3618G8YJ4, CY8813C, 1269961.00, 1A, GNR 2023-183
3618FWA82, CX9031C, 2229477.00, 1A, GNR 2023-183
3618F9VH0, CW1516C, 1047157.00, 1A, GNR 2023-183
3618G5DY0, CY5519C, 1091931.00, 1A, GNR 2023-183
3618FWAA7, CX9001C, 1205659.00, 1A, GNR 2023-183
3618G6KW4, CY6609C, 1270603.00, 1A, GNR 2023-183
3618GCBL5, CZ0943C, 1003825.00, 1A, GNR 2023-183
3618G15L6, CY2651C, 1972058.00, 1A, GNR 2023-183
3618F9YN4, CW1617C, 1056764.00, 1A, GNR 2023-183
3618FTUZ7, CX6900C, 1172975.00, 1A, GNR 2023-183
3618G8YK1, CY8814C, 1781933.00, 1A, GNR 2023-183
3618FUX65, CX7901C, 1458166.00, 1A, GNR 2023-183
3618G8H61, CY8353C, 1360671.00, 1A, GNR 2023-183
3618FPTH7, CX3252C, 3325821.00, 1A, GNR 2023-183
3618FWA90, CX9032C, 2218811.00, 1A, GNR 2023-183
3618G6HX6, CY6546C, 1339313.00, 1A, GNR 2023-183
3618G8UX7, CY8698C, 2070098.00, 1A, GNR 2023-183
3618FVFB2, CX8262C, 2457668.00, 1A, GNR 2023-183
3618G7X57, CY7900C, 1531500.00, 1A, GNR 2023-183
3618F9QD5, CW1352C, 1060495.00, 1A, GNR 2023-183
3618FMN64, CX1313C, 1001317.00, 1A, GNR 2023-183
3618G9NY1, CY9407C, 1730712.00, 1A, GNR 2023-183
3618F9TZ3, CW1468C, 1199439.00, 1A, GNR 2023-183
3618FMW56, CX1568C, 1613827.00, 1A, GNR 2023-183
3618FDUB5, CW5078C, 1262507.00, 1A, GNR 2023-183
3618FWFR5, CX9176C, 1009370.00, 1A, GNR 2023-183
3618FTK96, CX6620C, 1616651.00, 1A, GNR 2023-183
3618G7XK4, CY7882C, 1206450.00, 1A, GNR 2023-183
3618G57L5, CY6299C, 1321700.00, 1A, GNR 2023-183
3618G1KY1, CY2111C, 1215504.00, 1A, GNR 2023-183
3618G56M4, CY6276C, 1013759.00, 1A, GNR 2023-183
3618G0FE3, CY1065C, 2192594.00, 1A, GNR 2023-183
3618BHL79, CU0350C, 3097834.00, 1A, GNR 2023-183
3618FV2J9, CX8877C, 1234112.00, 1A, GNR 2023-183
3618G3CU4, CY3683C, 1647307.00, 1A, GNR 2023-183
3618G8HS3, CY8341C, 1082586.00, 1A, GNR 2023-183
3618FLHT3, CX0242C, 1231983.00, 1A, GNR 2023-183
3618FDUZ2, CW5100C, 1077950.00, 1A, GNR 2023-183
3618G4CE8, CY4569C, 2278070.00, 1A, GNR 2023-183
3618FUX73, CX7902C, 1358661.00, 1A, GNR 2023-183
3618FHGR7, CW8308C, 2083687.00, 1A, GNR 2023-183
3618G8K67, CY8417C, 1115097.00, 1A, GNR 2023-183
3618G1CZ7, CY1888C, 2740495.00, 1A, GNR 2023-183
3618BXQ53, CV2276C, 1321666.00, 1A, GNR 2023-183
3618FTKS4, CX6605C, 2075879.00, 1A, GNR 2023-183
3618G7X65, CY7901C, 1955087.00, 1A, GNR 2023-183
3618FWCM9, CX9076C, 2506556.00, 1A, GNR 2023-183
3618G6KY0, CY6611C, 2059054.00, 1A, GNR 2023-183
3618F9V80, CW1539C, 1507066.00, 1A, GNR 2023-183
3618G2T38, CY3270C, 4349514.00, 1A, GNR 2023-183
3618FEWV7, CW6060C, 1242904.00, 1A, GNR 2023-183
3618F5FA1, CV8261C, 5889908.00, 1A, GNR 2023-183
3618G7Q55, CY7676C, 1092068.00, 1A, GNR 2023-183
3618G75W9, CY8061C, 1017694.00, 1A, GNR 2023-183
3618G2SQ8, CY3227C, 1898733.00, 1A, GNR 2023-183
3618FPTK0, CX3254C, 1270934.00, 1A, GNR 2023-183
3618FGCC6, CW7267C, 4524514.00, 1A, GNR 2023-183
3618FRY61, CX5233C, 1859935.00, 1A, GNR 2023-183
3618F9M49, CW1279C, 1387762.00, 1A, GNR 2023-183
3618G1KX3, CY2110C, 1494319.00, 1A, GNR 2023-183
3618F9YP9, CW1618C, 2868383.00, 1A, GNR 2023-183
3618FVFA4, CX8261C, 2885862.00, 1A, GNR 2023-183
3618GD2T6, CZ2586C, 5094318.00, 1A, GNR 2023-183
3618G8XR7, CY8788C, 2683160.00, 1A, GNR 2023-183
3618G8VC2, CY8711C, 2759917.00, 1A, GNR 2023-183
3618FE2B4, CW6170C, 1555087.00, 1A, GNR 2023-183
3618FUBT9, CX7250C, 2456772.00, 1A, GNR 2023-183
3618FWBT5, CX9050C, 10084160.00, 1A, GNR 2023-183
3618FMN98, CX1316C, 1901751.00, 1A, GNR 2023-183
3618FR2M1, CX5280C, 1968318.00, 1A, GNR 2023-183
3618G92S7, CY9785C, 1508687.00, 1A, GNR 2023-183
3618G6H24, CY6549C, 1085532.00, 1A, GNR 2023-183
3618G2Y99, CY3436C, 1080606.00, 1A, GNR 2023-183
3618G2U85, CY3307C, 1074391.00, 1A, GNR 2023-183
3618BXRL7, CV2291C, 3505120.00, 1A, GNR 2023-183
