"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2024-05-01","'31402WR83'","MBS","UMBS MORTPASS 5% 09/33","30yr",,,,,"6648.80",,,,,,""
"2024-05-01","'36201NTK6'","MBS","GNMA I 4.5% 07/33","30yr",,,,,"6635.72",,,,,,""
"2024-05-01","'31418CUN2'","MBS","UMBS MORTPASS 2% 12/32","15yr",,,,,"6611.40",,,,,,""
"2024-05-01","'31371NSN6'","MBS","UMBS MORTPASS 5.5% 03/28","Other",,,,,"6582.27",,,,,,""
"2024-05-01","'3140J5X87'","MBS","UMBS MORTPASS 3.5% 05/32","15yr",,,,,"6575.30",,,,,,""
"2024-05-01","'36202ECM9'","MBS","GNMA II 4.5% 02/35","30yr",,,,,"6567.37",,,,,,""
"2024-05-01","'31418B3C8'","MBS","UMBS MORTPASS 4.5% 03/46","30yr",,,,,"6564.73",,,,,,""
"2024-05-01","'36291UPJ8'","MBS","GNMA I MORTPASS 5% 06/39","30yr",,,,,"6535.19",,,,,,""
"2024-05-01","'31417MP56'","MBS","UMBS MORTPASS 6% 09/39","30yr",,,,,"6522.88",,,,,,""
"2024-05-01","'36230MKA4'","MBS","GNMA I MORTPASS 4% 08/41","30yr",,,,,"6519.52",,,,,,""
"2024-05-01","'36290ULN4'","MBS","GNMA I 5.5% 12/37","30yr",,,,,"6518.46",,,,,,""
"2024-05-01","'36296DX52'","MBS","GNMA I MORTPASS 5% 04/38","30yr",,,,,"6517.28",,,,,,""
"2024-05-01","'36200KQB6'","MBS","GNMA I MORTPASS 5% 03/33","30yr",,,,,"6514.52",,,,,,""
"2024-05-01","'3620A2FC5'","MBS","GNMA I MORTPASS 5% 08/39","30yr",,,,,"6511.03",,,,,,""
"2024-05-01","'31371PB66'","MBS","UMBS MORTPASS 6.5% 12/28","Other",,,,,"6501.69",,,,,,""
"2024-05-01","'3131WJFN8'","MBS","UMBS MORTPASS 5.5% 12/36","30yr",,,,,"6498.57",,,,,,""
"2024-05-01","'36295WG35'","MBS","GNMA I MORTPASS 4% 02/41","30yr",,,,,"6478.75",,,,,,""
"2024-05-01","'31417MFE8'","MBS","UMBS MORTPASS 4.5% 08/39","30yr",,,,,"6473.89",,,,,,""
"2024-05-01","'3133A0DF8'","MBS","UMBS MORTPASS 5% 12/49","30yr",,,,,"6467.60",,,,,,""
"2024-05-01","'36296JFK6'","MBS","GNMA I 4.5% 02/39","30yr",,,,,"6464.44",,,,,,""
"2024-05-01","'31413JZR8'","MBS","UMBS MORTPASS 6% 10/37","30yr",,,,,"6462.05",,,,,,""
"2024-05-01","'36202XZK6'","MBS","GNMA I MORTPASS 5% 06/33","30yr",,,,,"6459.72",,,,,,""
"2024-05-01","'3138YLGW5'","MBS","UMBS MORTPASS 3.5% 03/30","15yr",,,,,"6454.57",,,,,,""
"2024-05-01","'3140J8GR8'","MBS","UMBS MORTPASS 4% 05/33","15yr",,,,,"6446.68",,,,,,""
"2024-05-01","'3140MXVY7'","MBS","UMBS MORTPASS 4.5% 07/52","30yr",,,,,"6430.17",,,,,,""
