3618F67D2, CV9892C, 4058127.00, 1, GNR 2023-100
3618F67M2, CV9900C, 6926192.00, 1, GNR 2023-100
3618F7AA2, CV9901C, 5123350.00, 1, GNR 2023-100
3618F7AB0, CV9902C, 9814239.00, 1, GNR 2023-100
3618F7AG9, CV9907C, 10078424.00, 1, GNR 2023-100
3618F3BX0, CV6354C, 3997951.00, 1, GNR 2023-100
3618F0HH5, CV3832C, 4635.00, 1, GNR 2023-100
36179YAT1, MA9018M, 78765941.00, 2, GNR 2023-100
36179X5J1, MA8949M, 29081655.00, 2, GNR 2023-100
3618BMJB2, CU3858C, 533213.00, 3, GNR 2023-100
3618BWE41, CV1055C, 1622690.00, 3, GNR 2023-100
3618F0G29, CV3817C, 1117523.00, 3, GNR 2023-100
3618F0H77, CV3854C, 2139090.00, 3, GNR 2023-100
3618F2R31, CV5906C, 2955078.00, 3, GNR 2023-100
3618F6LQ7, CV9335C, 2030000.00, 3, GNR 2023-100
3618F06B0, CV4466C, 569401.00, 3, GNR 2023-100
3618B5QB1, CT0450C, 2197678.00, 4, GNR 2023-100
3618BJGU0, CU1111C, 5216132.00, 4, GNR 2023-100
3618F4M65, CV7581C, 1999630.00, 4, GNR 2023-100
3618B5NF5, CT0390C, 1784965.00, 4, GNR 2023-100
3618B74J4, CT2625C, 1152116.00, 4, GNR 2023-100
3618BJFR8, CU1076C, 5106264.00, 4, GNR 2023-100
3618BWC35, CV0990C, 1125373.00, 4, GNR 2023-100
3618BY2R9, CV3484C, 3362363.00, 4, GNR 2023-100
3618AS4M2, CS0828C, 1002882.00, 4, GNR 2023-100
3618AWCC6, CS3667C, 2209765.00, 4, GNR 2023-100
3618BAFS5, CT4677C, 3197212.00, 4, GNR 2023-100
3618BH5Y8, CU0863C, 9660730.00, 4, GNR 2023-100
3618BJBH4, CU0940C, 5109874.00, 4, GNR 2023-100
3618BJNF5, CU1290C, 1296362.00, 4, GNR 2023-100
3618BLSH1, CU3220C, 1024392.00, 4, GNR 2023-100
3618BMQ40, CU4075C, 1009612.00, 4, GNR 2023-100
3618BXPW5, CV2237C, 1053000.00, 4, GNR 2023-100
3618F1G84, CV4723C, 1019560.00, 4, GNR 2023-100
3618B1DT5, CS7314C, 2430581.00, 4, GNR 2023-100
3618BDDZ5, CT7320C, 2523439.00, 4, GNR 2023-100
3618BJ3G5, CU1699C, 4026392.00, 4, GNR 2023-100
3618BLKE6, CU2993C, 1218079.00, 4, GNR 2023-100
3618BNSE4, CU5017C, 1486045.00, 4, GNR 2023-100
3618BQD52, CU6424C, 2032155.00, 4, GNR 2023-100
3618B3F85, CS9191C, 1098748.00, 4, GNR 2023-100
3618AECG7, CR0071C, 4975880.00, 4, GNR 2023-100
3618A9BC8, CQ6335C, 6286028.00, 4, GNR 2023-100
3618A9C45, CQ6391C, 6042427.00, 4, GNR 2023-100
3618AGV55, CR2436C, 1103975.00, 4, GNR 2023-100
3618AEBG8, CR0039C, 1776245.00, 4, GNR 2023-100
38381B7N8, GN-2019-021-SJ, 40126987.00, 5A, GNR 2023-100
38381RPT0, GN-2019-023-SE, 55019719.00, 5A, GNR 2023-100
38381TBX2, GN-2019-033-S, 51613952.00, 5A, GNR 2023-100
38381R4L0, GN-2019-038-SA, 23940835.00, 5A, GNR 2023-100
38381TS22, GN-2019-043-SB, 35000000.00, 5A, GNR 2023-100
38381XAP1, GN-2019-083-SL, 47971000.00, 5B, GNR 2023-100
38381XV45, GN-2019-100-JS, 5645000.00, 5B, GNR 2023-100
38381YXM1, GN-2019-110-SD, 14575000.00, 5B, GNR 2023-100
38382AJT3, GN-2019-123-SC, 50188560.00, 5C, GNR 2023-100
38381AEN2, GN-2018-145-SE, 47029371.00, 5D, GNR 2023-100
38380XUC9, GN-2018-091-SD, 7000000.00, 5E, GNR 2023-100
38380YS30, GN-2018-122-GS, 10170204.00, 5E, GNR 2023-100
38380Y3U7, GN-2018-125-SD, 50000000.00, 5E, GNR 2023-100
38380YTT2, GN-2018-105-SG, 6706000.00, 5F, GNR 2023-100
36179YAT1, MA9018M, 60887115.00, 6, GNR 2023-100
3617YQ3P6, CM5306C, 40562.00, T, GNR 2023-100
3618BQJA5, CU6557C, 3683596.00, 1A, GNR 2023-101
3618BQMF0, CU6658C, 14493633.00, 1A, GNR 2023-101
3618BQMJ2, CU6661C, 9963228.00, 1A, GNR 2023-101
3618BS6E7, CU8969C, 8171517.00, 1A, GNR 2023-101
3618BYQZ5, CV3172C, 751225.00, 1A, GNR 2023-101
3618BY3A5, CV3493C, 17008561.00, 1A, GNR 2023-101
3618F1MC8, CV4855C, 1310598.00, 1A, GNR 2023-101
3618F1MD6, CV4856C, 1653525.00, 1A, GNR 2023-101
3618F1MW4, CV4873C, 2075834.00, 1A, GNR 2023-101
3618F63S3, CV9809C, 5942206.00, 1A, GNR 2023-101
