3618F3L84, CV6651C, 410177.00, 2, GNR 2023-111
3618F3L92, CV6652C, 365583.00, 2, GNR 2023-111
3618F3LF8, CV6626C, 426004.00, 2, GNR 2023-111
3618F3MA8, CV6653C, 537404.00, 2, GNR 2023-111
3618F3W25, CV6965C, 737027.00, 2, GNR 2023-111
3618F3WV1, CV6960C, 369022.00, 2, GNR 2023-111
3618F3WW9, CV6961C, 370380.00, 2, GNR 2023-111
3618F3WX7, CV6962C, 676761.00, 2, GNR 2023-111
3618F3WY5, CV6963C, 721337.00, 2, GNR 2023-111
3618F4VY4, CV7831C, 475226.00, 2, GNR 2023-111
3618F4VZ1, CV7832C, 359638.00, 2, GNR 2023-111
3618F63F1, CV9798C, 693145.00, 2, GNR 2023-111
3618F8AL6, CW0011C, 398582.00, 2, GNR 2023-111
3618F8AM4, CW0012C, 667516.00, 2, GNR 2023-111
3618F8AN2, CW0013C, 985197.00, 2, GNR 2023-111
3618F8AP7, CW0014C, 1159567.00, 2, GNR 2023-111
3618FASX6, CW2334C, 365022.00, 2, GNR 2023-111
3618FASY4, CW2335C, 364873.00, 2, GNR 2023-111
36179X2P0, MA8882M, 10876666.00, 3, GNR 2023-111
36179X2P0, MA8882M, 50000000.00, 3, GNR 2023-111
36179X2P0, MA8882M, 46489963.00, 3, GNR 2023-111
38383GZ46, GN-2022-025-GZ, 23443024.00, 4A, GNR 2023-111
38382WT49, GN-2021-136-CZ, 12500000.00, 4B, GNR 2023-111
38382WU62, GN-2021-136-DZ, 3177608.00, 4B, GNR 2023-111
38383DDY1, GN-2021-194-PZ, 32161432.00, 4B, GNR 2023-111
38383FBS1, GN-2021-214-Z, 15981426.00, 4B, GNR 2023-111
38383GJF9, GN-2022-006-LZ, 16735187.00, 4B, GNR 2023-111
38383G2A8, GN-2022-025-MZ, 5418923.00, 4B, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 5, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 5, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 5, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 5, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 5, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 5, GNR 2023-111
36179YAT1, MA9018M, 38163946.00, 6, GNR 2023-111
38384ASS3, GN-2023-066-ME, 25581261.00, 7, GNR 2023-111
36179YAT1, MA9018M, 50000000.00, 8, GNR 2023-111
36179YAT1, MA9018M, 50000000.00, 8, GNR 2023-111
36179YAT1, MA9018M, 29864111.00, 8, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 8, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 8, GNR 2023-111
36179YDL5, MA9107M, 50000000.00, 8, GNR 2023-111
36179YDL5, MA9107M, 27328136.00, 8, GNR 2023-111
36179YAT1, MA9018M, 50000000.00, 9, GNR 2023-111
36179YAT1, MA9018M, 50000000.00, 9, GNR 2023-111
36179YAT1, MA9018M, 50000000.00, 9, GNR 2023-111
36179YAT1, MA9018M, 50000000.00, 9, GNR 2023-111
36179YAT1, MA9018M, 7182159.00, 9, GNR 2023-111
3617FW5K3, CP7150C, 1357809.00, 10, GNR 2023-111
3618A9L45, CQ6647C, 1308074.00, 10, GNR 2023-111
3618AM3T1, CR7110C, 1099480.00, 10, GNR 2023-111
3618AMRF5, CR6786C, 1297147.00, 10, GNR 2023-111
3618AW2Z6, CS4392C, 19340427.00, 10, GNR 2023-111
3618AWYB4, CS4306C, 5581516.00, 10, GNR 2023-111
3618AWYG3, CS4311C, 13428047.00, 10, GNR 2023-111
3618AXBE1, CS4537C, 1273690.00, 10, GNR 2023-111
3618B0BK8, CS6342C, 3882818.00, 10, GNR 2023-111
3618B0CM3, CS6376C, 1877049.00, 10, GNR 2023-111
3618B0CQ4, CS6379C, 2082796.00, 10, GNR 2023-111
3618B0DJ9, CS6405C, 1808005.00, 10, GNR 2023-111
3618B0DK6, CS6406C, 1066908.00, 10, GNR 2023-111
3618B3CP0, CS9078C, 2080409.00, 10, GNR 2023-111
3618B3CQ8, CS9079C, 2588118.00, 10, GNR 2023-111
3618B8B47, CT2759C, 1841211.00, 10, GNR 2023-111
3618B8C20, CT2789C, 10067443.00, 10, GNR 2023-111
3618FDHH7, CW4732C, 2479390.00, 10, GNR 2023-111
36179QBN0, MA1845M, 450000.00, 11A, GNR 2023-111
36179SU21, MA4201M, 165000.00, 11A, GNR 2023-111
36179UUC4, MA5979M, 300000.00, 11A, GNR 2023-111
36179UV25, MA6033M, 526684.00, 11A, GNR 2023-111
36179VL65, MA6649M, 100000.00, 11A, GNR 2023-111
36179X4B9, MA8918M, 2325376.00, 11A, GNR 2023-111
36179X4C7, MA8919M, 2093006.00, 11A, GNR 2023-111
36179X4E3, MA8921M, 209947.00, 11A, GNR 2023-111
36179X7A8, MA8989M, 35186.00, 11A, GNR 2023-111
36179X7B6, MA8990M, 655197.00, 11A, GNR 2023-111
36179X7C4, MA8991M, 193960.00, 11A, GNR 2023-111
36179XH58, MA8352M, 47318.00, 11A, GNR 2023-111
36179XSE7, MA8617M, 200000.00, 11A, GNR 2023-111
36179XUV6, MA8696M, 171763.00, 11A, GNR 2023-111
36179XZM1, MA8848M, 638278.00, 11A, GNR 2023-111
36179XZQ2, MA8851M, 33954.00, 11A, GNR 2023-111
36183KEN4, AK1941C, 271229.00, 11A, GNR 2023-111
36202C2Y8, 2591M, 3225000.00, 11A, GNR 2023-111
36202CXP3, 002591M, 5000000.00, 11A, GNR 2023-111
36202CY80, 002486M, 3473676.00, 11A, GNR 2023-111
36202E3T4, 002535M, 200000.00, 11A, GNR 2023-111
36202E5W5, 004410M, 2250000.00, 11A, GNR 2023-111
36202E6Z7, 004461M, 1000000.00, 11A, GNR 2023-111
36202EQM4, 004488M, 50000.00, 11A, GNR 2023-111
36202EWD7, 004060M, 21000.00, 11A, GNR 2023-111
36202EXM6, 004244M, 33125000.00, 11A, GNR 2023-111
36202EYE3, 004284M, 362500.00, 11A, GNR 2023-111
36202EZ51, 004309M, 8307180.00, 11A, GNR 2023-111
36202FBX3, 004364M, 2000000.00, 11A, GNR 2023-111
36202FJL1, 004554M, 1500000.00, 11A, GNR 2023-111
36202FT22, 004767M, 250000.00, 11A, GNR 2023-111
36202FXF8, 005069M, 2000000.00, 11A, GNR 2023-111
36295ETW7, 005178M, 779433.00, 11A, GNR 2023-111
36295JES1, 671645C, 876696.00, 11A, GNR 2023-111
36295Q4X5, 677738C, 1596990.00, 11A, GNR 2023-111
36295UTR2, 681060C, 2043502.00, 11A, GNR 2023-111
36296TKG7, 700595C, 2843292.00, 11A, GNR 2023-111
36176ARW1, 760401X, 21000.00, 11B, GNR 2023-111
36203KKS2, 351405X, 2106380.00, 11B, GNR 2023-111
36204JM94, 371284X, 10989000.00, 11B, GNR 2023-111
36207YA42, 445627X, 2857504.00, 11B, GNR 2023-111
36209MV27, 475933X, 10172250.00, 11B, GNR 2023-111
3620A9TL5, 723355X, 820000.00, 11B, GNR 2023-111
3620C5S81, 749443X, 25000.00, 11B, GNR 2023-111
36211EAC2, 510403X, 650000.00, 11B, GNR 2023-111
36211SFE2, 521365X, 1680000.00, 11B, GNR 2023-111
36212NAM9, 538312X, 5102801.00, 11B, GNR 2023-111
36213CSY7, 550535X, 5078000.00, 11B, GNR 2023-111
36225AQW3, 780469X, 1070000.00, 11B, GNR 2023-111
36225B2S6, 781685X, 945171.00, 11B, GNR 2023-111
36290QX59, 614600X, 65000.00, 11B, GNR 2023-111
36294PY31, 656030X, 960000.00, 11B, GNR 2023-111
36296RV61, 699137X, 22000.00, 11B, GNR 2023-111
36296SC86, 699495X, 22000.00, 11B, GNR 2023-111
36296YTN2, 705357X, 21000.00, 11B, GNR 2023-111
3617FHN34, CO5810C, 30368.00, T, GNR 2023-111
3618A5T45, CQ3271C, 1301008.00, 1A, GNR 2023-112
3618AGKX6, CR2110C, 1665726.00, 1A, GNR 2023-112
3618ALDN5, CR5509C, 561134.00, 1A, GNR 2023-112
3618ALER5, CR5544C, 852444.00, 1A, GNR 2023-112
3618APWJ4, CR8749C, 418960.00, 1A, GNR 2023-112
3618APW21, CR8765C, 903762.00, 1A, GNR 2023-112
3618APW39, CR8766C, 333292.00, 1A, GNR 2023-112
3618AP3B3, CR8894C, 891982.00, 1A, GNR 2023-112
3618ATYS4, CS1621C, 1304232.00, 1A, GNR 2023-112
3618AWW91, CS4272C, 1519944.00, 1A, GNR 2023-112
3618B02J1, CS7077C, 1098572.00, 1A, GNR 2023-112
3618B5F31, CT0186C, 472881.00, 1A, GNR 2023-112
3618B5KB7, CT0290C, 871404.00, 1A, GNR 2023-112
3618B5KY7, CT0311C, 2162477.00, 1A, GNR 2023-112
3618B5KZ4, CT0312C, 720731.00, 1A, GNR 2023-112
3618B5MH2, CT0360C, 1430653.00, 1A, GNR 2023-112
3618B5NL2, CT0395C, 1217244.00, 1A, GNR 2023-112
3618B5NM0, CT0396C, 1840847.00, 1A, GNR 2023-112
3618B5P97, CT0448C, 1854510.00, 1A, GNR 2023-112
3618B54Q2, CT0831C, 1491608.00, 1A, GNR 2023-112
3618B54R0, CT0832C, 3088432.00, 1A, GNR 2023-112
3618B56V9, CT0884C, 1849574.00, 1A, GNR 2023-112
