3618A4FC5, CQ1963C, 276455.00, 5, GNR 2023-063
3618A5BS1, CQ2749C, 53752.00, 5, GNR 2023-063
3618A5ES8, CQ2845C, 31183.00, 5, GNR 2023-063
3618A52Y8, CQ3491C, 751590.00, 5, GNR 2023-063
36179X2N5, MA8881M, 130000000.00, 6, GNR 2023-063
36179X2M7, MA8880M, 100000000.00, 7, GNR 2023-063
3618B1VA6, CS7809C, 2500000.00, 8A, GNR 2023-063
3618BQAW6, CU6321C, 8063261.00, 8A, GNR 2023-063
3618BGBH0, CT9940C, 5799885.00, 8A, GNR 2023-063
3618BQAX4, CU6322C, 9119695.00, 8A, GNR 2023-063
3618BB4F3, CT6222C, 1170407.00, 8A, GNR 2023-063
3618BQCA2, CU6365C, 5042683.00, 8A, GNR 2023-063
3618BQBC9, CU6335C, 5901047.00, 8A, GNR 2023-063
3618BQBA3, CU6333C, 4026352.00, 8A, GNR 2023-063
3618BMB53, CU3660C, 1021779.00, 8A, GNR 2023-063
3618BBFU8, CT5579C, 2742994.00, 8A, GNR 2023-063
3618BQB96, CU6364C, 4043651.00, 8A, GNR 2023-063
3618BBGK9, CT5602C, 2447014.00, 8A, GNR 2023-063
3618B8FV3, CT2880C, 1424938.00, 8A, GNR 2023-063
3618BQAV8, CU6320C, 2001136.00, 8A, GNR 2023-063
3618BBHK8, CT5634C, 1048446.00, 8A, GNR 2023-063
3618AK5C0, CR5343C, 1355855.00, 8B, GNR 2023-063
3618AGDN6, CR1909C, 1142413.00, 8B, GNR 2023-063
3618APWP0, CR8754C, 1044937.00, 8B, GNR 2023-063
3618B3FU6, CS9179C, 3247119.00, 8B, GNR 2023-063
3618B3EN3, CS9141C, 2382793.00, 8B, GNR 2023-063
36179X2M7, MA8880M, 53676447.00, 8C, GNR 2023-063
36179X2N5, MA8881M, 50000000.00, 9, GNR 2023-063
38382FJK1, GN-2020-062-FA, 30000000.00, 10, GNR 2023-063
38382FJL9, GN-2020-062-SA, 30000000.00, 10, GNR 2023-063
38383VFT0, GN-2023-001-MA, 54968318.00, 10, GNR 2023-063
36179X2N5, MA8881M, 10000000.00, 11, GNR 2023-063
3618BQVU7, CU6927C, 1019571.00, 12, GNR 2023-063
3622ACHN3, 786637C, 69498226.00, 12, GNR 2023-063
3618ALAR9, CR5416C, 1214428.00, 12, GNR 2023-063
3618BLR66, CU3209C, 4654328.00, 12, GNR 2023-063
3618BLR58, CU3208C, 1100613.00, 12, GNR 2023-063
3618BLR41, CU3207C, 1271344.00, 12, GNR 2023-063
3622ACHP8, 786638C, 24478383.00, 12, GNR 2023-063
3618BNSK0, CU5022C, 9711768.00, 12, GNR 2023-063
3618BN5X7, CU5362C, 1318305.00, 12, GNR 2023-063
3618BN5Y5, CU5363C, 1100972.00, 12, GNR 2023-063
3618BN5Z2, CU5364C, 1469774.00, 12, GNR 2023-063
3618BNQ22, CU4973C, 9195246.00, 12, GNR 2023-063
3618BNQY2, CU4971C, 3379424.00, 12, GNR 2023-063
3618BNQZ9, CU4972C, 2838645.00, 12, GNR 2023-063
3618BFC32, CT9090C, 1661209.00, 12, GNR 2023-063
3618AK7M6, CR5400C, 1485119.00, 12, GNR 2023-063
3618BFYH7, CT9712C, 1155600.00, 12, GNR 2023-063
3618BFYG9, CT9711C, 1015019.00, 12, GNR 2023-063
3618BED42, CT8223C, 1284164.00, 12, GNR 2023-063
3618BED34, CT8222C, 1155515.00, 12, GNR 2023-063
3618BDFP5, CT7374C, 2226496.00, 12, GNR 2023-063
3618BMQ73, CU4078C, 1000000.00, 12, GNR 2023-063
36179X2P0, MA8882M, 50000000.00, 13, GNR 2023-063
3618AED43, CR0123C, 40264.00, T, GNR 2023-063
