3618G2AX2, CY2722C, 1077393.00, 8A, GNR 2024-108
3618G2AY0, CY2723C, 3033546.00, 8A, GNR 2024-108
3618G2AZ7, CY2724C, 2475087.00, 8A, GNR 2024-108
3618G2T20, CY3269C, 1174286.00, 8A, GNR 2024-108
3618G56N2, CY6277C, 1755653.00, 8A, GNR 2024-108
3618GBZA5, CZ0737C, 1073757.00, 8A, GNR 2024-108
3618GUS78, DA5042C, 1754483.00, 8B, GNR 2024-108
3618GUX56, DA5200C, 2556256.00, 8B, GNR 2024-108
3618GUX72, DA5202C, 2080008.00, 8B, GNR 2024-108
3618GUX80, DA5203C, 1134045.00, 8B, GNR 2024-108
3618H04G9, DA9823C, 2718704.00, 8B, GNR 2024-108
3618H1A54, DA9928C, 2301918.00, 8B, GNR 2024-108
3618H1A62, DA9929C, 2596623.00, 8B, GNR 2024-108
3618H5R32, DB3206C, 8026353.00, 8B, GNR 2024-108
3618HBQS5, DB8565C, 5895744.00, 8B, GNR 2024-108
3618HBQW6, DB8569C, 10770898.00, 8B, GNR 2024-108
3618HBRD7, DB8584C, 1516261.00, 8B, GNR 2024-108
3618HFXW9, DC1593C, 1089466.00, 8B, GNR 2024-108
3618HFZJ6, DC1645C, 1893826.00, 8B, GNR 2024-108
3618HKG64, DC4721C, 3663886.00, 8B, GNR 2024-108
3618HKG72, DC4722C, 4055010.00, 8B, GNR 2024-108
3618HLDC2, DC5499C, 1676330.00, 8B, GNR 2024-108
3618F8ZX3, CW0758C, 1859712.00, 9A, GNR 2024-108
3618FT6A9, CX7165C, 7448581.00, 9A, GNR 2024-108
3618FW7D5, CX9892C, 1520800.00, 9A, GNR 2024-108
3618GCP55, CZ1344C, 5230738.00, 9A, GNR 2024-108
3618GCP63, CZ1345C, 2144316.00, 9A, GNR 2024-108
3618GEG36, CZ2918C, 6416683.00, 9A, GNR 2024-108
3618GP3Y7, DA0815C, 3984925.00, 9A, GNR 2024-108
3618GP4A8, DA0817C, 1477268.00, 9A, GNR 2024-108
3618GP5R0, DA0856C, 1563654.00, 9A, GNR 2024-108
3618GQCC3, DA0967C, 4029349.00, 9A, GNR 2024-108
3618GQCE9, DA0969C, 1927340.00, 9A, GNR 2024-108
3618GQC41, DA0991C, 9371881.00, 9A, GNR 2024-108
3618GSBW6, DA2753C, 2754507.00, 9A, GNR 2024-108
3618GTP33, DA4042C, 12570308.00, 9A, GNR 2024-108
3618GWL22, DA6645C, 1433465.00, 9A, GNR 2024-108
3618GWMB1, DA6654C, 1893340.00, 9A, GNR 2024-108
3618GWM54, DA6680C, 2077148.00, 9A, GNR 2024-108
3618H0Y35, DA9730C, 1428735.00, 9A, GNR 2024-108
3618H07E1, DA9893C, 6206880.00, 9A, GNR 2024-108
3618H2VT7, DB0626C, 1259760.00, 9A, GNR 2024-108
3618H3EJ6, DB1037C, 2018021.00, 9A, GNR 2024-108
3618H6DB7, DB3698C, 3891014.00, 9A, GNR 2024-108
3618H7GU0, DB4711C, 3784385.00, 9A, GNR 2024-108
3618H7WE8, DB5145C, 15035174.00, 9A, GNR 2024-108
3618H8US7, DB5993C, 1217133.00, 9A, GNR 2024-108
