3618HSVR4, DD0624C, 9223455.00, 6G, GNR 2024-142
3618HTWX8, DD1562C, 3000000.00, 6G, GNR 2024-142
3618J9Z58, DE4364C, 3565519.00, 6G, GNR 2024-142
3618JACP6, DE4578C, 3397780.00, 6G, GNR 2024-142
3618JB5A5, DE6241C, 2924092.00, 6G, GNR 2024-142
3618JBZM6, DE6148C, 5790332.00, 6G, GNR 2024-142
3618JEL29, DE8445C, 1045506.00, 6G, GNR 2024-142
3618JFP30, DE9442C, 1301164.00, 6G, GNR 2024-142
3618JJ2L7, DF1679C, 3070554.00, 6G, GNR 2024-142
3618HSWD4, DD0644C, 3765633.00, 6H, GNR 2024-142
3618HVQ36, DD3174C, 8826340.00, 6H, GNR 2024-142
3618J0UX1, DD6898C, 6000000.00, 6H, GNR 2024-142
3618J4BE6, DD9937C, 2595667.00, 6H, GNR 2024-142
3618J7W63, DE2469C, 4909882.00, 6H, GNR 2024-142
3618J8VW5, DE3329C, 5493159.00, 6H, GNR 2024-142
3618J9Z82, DE4367C, 3436658.00, 6H, GNR 2024-142
3618JBZN4, DE6149C, 3161922.00, 6H, GNR 2024-142
3618JEL37, DE8446C, 1153715.00, 6H, GNR 2024-142
3618JHHR2, DF0240C, 2866096.00, 6H, GNR 2024-142
3618JJV27, DF1533C, 194326.00, 6H, GNR 2024-142
3618AQZA8, CR9737C, 1054248.00, 7A, GNR 2024-142
3618AQZB6, CR9738C, 1599147.00, 7A, GNR 2024-142
3618AQZC4, CR9739C, 1321606.00, 7A, GNR 2024-142
3618AQZD2, CR9740C, 1147658.00, 7A, GNR 2024-142
3618G2F33, CY2886C, 5421919.00, 7A, GNR 2024-142
3618G2GB4, CY2894C, 1736696.00, 7A, GNR 2024-142
3618G2GC2, CY2895C, 2813821.00, 7A, GNR 2024-142
3618G2GD0, CY2896C, 4161829.00, 7A, GNR 2024-142
3618GCQQ8, CZ1363C, 1496117.00, 7A, GNR 2024-142
3618HFRD8, DC1384C, 2550754.00, 7A, GNR 2024-142
3618HFTL8, DC1455C, 1045118.00, 7A, GNR 2024-142
3618HFTM6, DC1456C, 1065130.00, 7A, GNR 2024-142
3618HFTN4, DC1457C, 5382752.00, 7A, GNR 2024-142
3618HKEP4, DC4642C, 1088241.00, 7A, GNR 2024-142
3618HKEQ2, DC4643C, 4119273.00, 7A, GNR 2024-142
3618HT5G5, DD1747C, 2646167.00, 7A, GNR 2024-142
3618J5LT9, DE0338C, 1046567.00, 7A, GNR 2024-142
3618J5LU6, DE0339C, 8521559.00, 7A, GNR 2024-142
3618J9VJ2, DE4217C, 1274508.00, 7A, GNR 2024-142
3618J9VK9, DE4218C, 1701971.00, 7A, GNR 2024-142
3618J9VL7, DE4219C, 1497603.00, 7A, GNR 2024-142
3618J9VM5, DE4220C, 9848500.00, 7A, GNR 2024-142
3618HFTS3, DC1461C, 6147992.00, 7B, GNR 2024-142
3618HT5C4, DD1743C, 22923036.00, 7B, GNR 2024-142
3618J5L85, DE0351C, 7307515.00, 7B, GNR 2024-142
38383LEH9, GN-2022-197-SC, 25000000.00, 8, GNR 2024-142
3618G4KL3, CY4799C, 50000.00, 9, GNR 2024-142
3618GYYH1, DA8812C, 50000.00, 9, GNR 2024-142
3618H2BS1, DB0049C, 250000.00, 9, GNR 2024-142
3618H6QS6, DB4065C, 1230374.00, 9, GNR 2024-142
3618H7B50, DB4560C, 250000.00, 9, GNR 2024-142
3618H95N4, DB7153C, 100000.00, 9, GNR 2024-142
3618HA3U7, DB8011C, 250000.00, 9, GNR 2024-142
3618HBVD2, DB8712C, 500000.00, 9, GNR 2024-142
3618HCNZ0, DB9408C, 50000.00, 9, GNR 2024-142
3618HCYR6, DB9720C, 50000.00, 9, GNR 2024-142
3618HEF69, DC0189C, 500000.00, 9, GNR 2024-142
3618HJZC3, DC4339C, 50000.00, 9, GNR 2024-142
3618HLQJ3, DC5857C, 500000.00, 9, GNR 2024-142
3618HMBH1, DC6340C, 250000.00, 9, GNR 2024-142
3618HN6E2, DC8069C, 543207.00, 9, GNR 2024-142
3618HNER4, DC7344C, 500000.00, 9, GNR 2024-142
3618HNQR1, DC7664C, 250000.00, 9, GNR 2024-142
3618HPBL5, DC8143C, 250000.00, 9, GNR 2024-142
3618HPHG0, DC8331C, 250000.00, 9, GNR 2024-142
3618HV2P3, DD3482C, 652508.00, 9, GNR 2024-142
3618J3EF2, DD9134C, 607758.00, 9, GNR 2024-142
3618J62C5, DE1671C, 490824.00, 9, GNR 2024-142
3618J6LT7, DE1238C, 626025.00, 9, GNR 2024-142
3618JAFF5, DE4666C, 698372.00, 9, GNR 2024-142
3618JAJU8, DE4775C, 284000.00, 9, GNR 2024-142
3618JAQ63, DE4977C, 50000.00, 9, GNR 2024-142
3618JAQ71, DE4978C, 50000.00, 9, GNR 2024-142
3618JFPN6, DE9429C, 491194.00, 9, GNR 2024-142
3618AXPL0, CS4927C, 21636.00, 10A, GNR 2024-142
3618BAXR7, CT5188C, 19823.00, 10A, GNR 2024-142
3618BAYH8, CT5212C, 24329.00, 10A, GNR 2024-142
3618BDAQ8, CT7215C, 45031.00, 10A, GNR 2024-142
3618G0VA3, CY1509C, 102355.00, 10A, GNR 2024-142
3618G4Q86, CY4979C, 21455.00, 10A, GNR 2024-142
3618G4Q94, CY4980C, 1622718.00, 10A, GNR 2024-142
3618G4RA0, CY4981C, 2356522.00, 10A, GNR 2024-142
3618G5HU4, CY5643C, 2553722.00, 10A, GNR 2024-142
3618G5HV2, CY5644C, 1547069.00, 10A, GNR 2024-142
3618G5HW0, CY5645C, 31013.00, 10A, GNR 2024-142
3618G5HX8, CY5646C, 32043.00, 10A, GNR 2024-142
3618G7TU7, CY7763C, 31089.00, 10A, GNR 2024-142
3618GH3Z2, CZ6216C, 41923.00, 10A, GNR 2024-142
3618GH4A6, CZ6217C, 21950.00, 10A, GNR 2024-142
3618GKCR3, CZ7280C, 20311.00, 10A, GNR 2024-142
3618GLU83, CZ8707C, 31057.00, 10A, GNR 2024-142
3618GQTQ4, DA1459C, 1453783.00, 10A, GNR 2024-142
3618HAU78, DB7806C, 1929715.00, 10A, GNR 2024-142
3618HAU86, DB7807C, 4265685.00, 10A, GNR 2024-142
3618HAU94, DB7808C, 5316545.00, 10A, GNR 2024-142
3618HJRF5, DC4086C, 1762300.00, 10A, GNR 2024-142
3618HK5C3, DC5343C, 1927653.00, 10A, GNR 2024-142
3618HK5D1, DC5344C, 2154516.00, 10A, GNR 2024-142
3618HK5E9, DC5345C, 2127290.00, 10A, GNR 2024-142
3618HUFR7, DD1976C, 2649099.00, 10A, GNR 2024-142
3622ACXP0, 787086C, 713480.00, 10A, GNR 2024-142
3622ACXQ8, 787087C, 1362205.00, 10A, GNR 2024-142
3618H54V5, DB3536C, 6498425.00, 10B, GNR 2024-142
3618HAU52, DB7804C, 9782938.00, 10B, GNR 2024-142
3618HAU60, DB7805C, 24577025.00, 10B, GNR 2024-142
3618HJRE8, DC4085C, 3009854.00, 10B, GNR 2024-142
38384MHZ3, GN-2024-064-B, 20467418.00, 11, GNR 2024-142
38384GKF6, GN-2023-190-AL, 4435737.00, 12, GNR 2024-142
38384JUB8, GN-2024-030-AN, 11309872.00, 12, GNR 2024-142
38384JNH3, GN-2024-030-LY, 5000000.00, 12, GNR 2024-142
38384VBA4, GN-2024-134-EL, 7760000.00, 13, GNR 2024-142
38384VBD8, GN-2024-134-GL, 5931000.00, 13, GNR 2024-142
3618BDTA3, CT7745C, 250000.00, 14, GNR 2024-142
3618G4JD3, CY4760C, 25000.00, 14, GNR 2024-142
3618H8BA7, DB5433C, 1320527.00, 14, GNR 2024-142
3618HHEV8, DC2848C, 25000.00, 14, GNR 2024-142
3618HHEW6, DC2849C, 25000.00, 14, GNR 2024-142
3618HHEX4, DC2850C, 1885376.00, 14, GNR 2024-142
3618HL4V0, DC6236C, 5193992.00, 14, GNR 2024-142
3618HL4W8, DC6237C, 13247064.00, 14, GNR 2024-142
3618HLX89, DC6103C, 2194170.00, 14, GNR 2024-142
3618HQ2G4, DC9775C, 2128489.00, 14, GNR 2024-142
3618HUMS7, DD2169C, 1658953.00, 14, GNR 2024-142
3618HVTK5, DD3254C, 3667854.00, 14, GNR 2024-142
3618HWH34, DD3850C, 1151981.00, 14, GNR 2024-142
