3617FL5T8, CO8958C, 11933765.00, 17A, GNR 2023-053
3617FW4C2, CP7119C, 2653680.00, 17A, GNR 2023-053
3618A3A24, CQ0925C, 2179095.00, 17A, GNR 2023-053
3618A3BG2, CQ0939C, 25600332.00, 17A, GNR 2023-053
3618A3CJ5, CQ0973C, 2745079.00, 17A, GNR 2023-053
3618A4VY9, CQ2431C, 1499519.00, 17A, GNR 2023-053
3618ACQJ0, CQ9457C, 2763903.00, 17A, GNR 2023-053
3618ACQM3, CQ9460C, 1350182.00, 17A, GNR 2023-053
3618ACRE0, CQ9485C, 31733093.00, 17A, GNR 2023-053
3618ACRN0, CQ9493C, 2151654.00, 17A, GNR 2023-053
3618ACRP5, CQ9494C, 34761803.00, 17A, GNR 2023-053
3618ADAJ5, CQ9909C, 2031379.00, 17A, GNR 2023-053
3618ADAQ9, CQ9915C, 1163071.00, 17A, GNR 2023-053
3618ATZQ7, CS1651C, 4888372.00, 17A, GNR 2023-053
3618BBTX7, CT5966C, 2331932.00, 17A, GNR 2023-053
3617FU6Z3, CP5388C, 21544959.00, 17B, GNR 2023-053
3618A3BY3, CQ0955C, 16033098.00, 17B, GNR 2023-053
3618A3D70, CQ1026C, 21781970.00, 17B, GNR 2023-053
3617FFA65, CO3629C, 7733215.00, 17C, GNR 2023-053
3617FFCY2, CO3687C, 1788574.00, 17C, GNR 2023-053
3618AADP4, CQ7310C, 5108442.00, 17C, GNR 2023-053
3618ACQY7, CQ9471C, 3260273.00, 17C, GNR 2023-053
3618AECH5, CR0072C, 1612686.00, 17C, GNR 2023-053
3618AEQC1, CR0451C, 3188854.00, 17C, GNR 2023-053
3618ATS93, CS1444C, 2137567.00, 17C, GNR 2023-053
36295NUS4, 675693C, 198407.00, 17D, GNR 2023-053
3617UMGK6, CB2002C, 48074.00, 17D, GNR 2023-053
3617UMGL4, CB2003C, 52487.00, 17D, GNR 2023-053
3617YVZ88, CM9767C, 51274.00, 17D, GNR 2023-053
3617FQHK3, CP1134C, 52547.00, 17D, GNR 2023-053
3617FSKC3, CP2991C, 49621.00, 17D, GNR 2023-053
3617FYGM3, CP8304C, 96837.00, 17D, GNR 2023-053
3617FYGY7, CP8315C, 132849.00, 17D, GNR 2023-053
3617FYKD8, CP8392C, 152521.00, 17D, GNR 2023-053
3617FYMC8, CP8455C, 142498.00, 17D, GNR 2023-053
3617FYMN4, CP8465C, 57792.00, 17D, GNR 2023-053
3618A3D39, CQ1022C, 66581.00, 17D, GNR 2023-053
3618A3D54, CQ1024C, 52425.00, 17D, GNR 2023-053
3618AKNX4, CR4906C, 81365.00, 17D, GNR 2023-053
3618AKN63, CR4913C, 88477.00, 17D, GNR 2023-053
3618AKPZ7, CR4940C, 68081.00, 17D, GNR 2023-053
3618AKQH6, CR4956C, 101482.00, 17D, GNR 2023-053
3618AKZM5, CR5248C, 86408.00, 17D, GNR 2023-053
3618ALHB7, CR5626C, 68410.00, 17D, GNR 2023-053
3618ALHC5, CR5627C, 59927.00, 17D, GNR 2023-053
3618ALTT5, CR5962C, 52577.00, 17D, GNR 2023-053
3618ALUH9, CR5984C, 48036.00, 17D, GNR 2023-053
3618ANAQ7, CR7215C, 97884.00, 17D, GNR 2023-053
3618ANC44, CR7291C, 98948.00, 17D, GNR 2023-053
3618ANC51, CR7292C, 56270.00, 17D, GNR 2023-053
3618ANR55, CR7708C, 53333.00, 17D, GNR 2023-053
3618APEU9, CR8247C, 50151.00, 17D, GNR 2023-053
3618APJX8, CR8378C, 76388.00, 17D, GNR 2023-053
3618APJY6, CR8379C, 93234.00, 17D, GNR 2023-053
3618APMT3, CR8470C, 81882.00, 17D, GNR 2023-053
