3618FN4W6, CX2637C, 590350.00, 7, GNR 2023-146
3618FHKU5, CW8407C, 556302.00, 7, GNR 2023-146
3618FBSR7, CW3228C, 1006856.00, 7, GNR 2023-146
3618F8SG8, CW0519C, 574253.00, 7, GNR 2023-146
3618FST65, CX5973C, 4361745.00, 7, GNR 2023-146
3618FGTN4, CW7757C, 543312.00, 7, GNR 2023-146
3618FDUL3, CW5087C, 1043669.00, 7, GNR 2023-146
3618FN4P1, CX2630C, 1475828.00, 7, GNR 2023-146
3618FNTR0, CX2360C, 4095964.00, 7, GNR 2023-146
3618FFZJ8, CW7045C, 5089315.00, 7, GNR 2023-146
3618F9JU5, CW1175C, 1651839.00, 7, GNR 2023-146
3618BQQK5, CU6758C, 1978655.00, 7, GNR 2023-146
3617U7ET2, CA0146C, 1361530.00, 7, GNR 2023-146
3618FPLW2, CX3041C, 658508.00, 7, GNR 2023-146
3618FMU90, CX1508C, 1483918.00, 7, GNR 2023-146
3618FGT95, CW7776C, 850222.00, 7, GNR 2023-146
3618FGTB0, CW7746C, 590433.00, 7, GNR 2023-146
3618F9MV9, CW1272C, 860827.00, 7, GNR 2023-146
3618FP6R0, CX3580C, 2138776.00, 7, GNR 2023-146
3618FMU74, CX1506C, 889105.00, 7, GNR 2023-146
3618FHUQ3, CW8691C, 3888593.00, 7, GNR 2023-146
3618FHJ78, CW8386C, 555761.00, 7, GNR 2023-146
3618F9M23, CW1277C, 1227460.00, 7, GNR 2023-146
3618F87K2, CW0898C, 539936.00, 7, GNR 2023-146
3618FST73, CX5974C, 3987042.00, 7, GNR 2023-146
3618FQCC4, CX3667C, 1494642.00, 7, GNR 2023-146
3618FEA33, CW5426C, 720103.00, 7, GNR 2023-146
3618F9JT8, CW1174C, 1118612.00, 7, GNR 2023-146
3618F9JG6, CW1163C, 992656.00, 7, GNR 2023-146
3618FLTU7, CX0563C, 2958261.00, 7, GNR 2023-146
3618FBZM0, CW3448C, 1215638.00, 7, GNR 2023-146
3618FBSQ9, CW3227C, 1276449.00, 7, GNR 2023-146
3618F9MW7, CW1273C, 638612.00, 7, GNR 2023-146
3618F9KM1, CW1200C, 864760.00, 7, GNR 2023-146
3618F8SF0, CW0518C, 540437.00, 7, GNR 2023-146
3618BQQG4, CU6755C, 649433.00, 7, GNR 2023-146
3618FQFP2, CX3774C, 829885.00, 7, GNR 2023-146
3618FNNG0, CX2191C, 567221.00, 7, GNR 2023-146
3618FHLR1, CW8436C, 614062.00, 7, GNR 2023-146
3618FGX82, CW7903C, 1274325.00, 7, GNR 2023-146
3618FGTR5, CW7760C, 540954.00, 7, GNR 2023-146
3618FFRZ1, CW6804C, 551283.00, 7, GNR 2023-146
3618F3YQ0, CV7019C, 641239.00, 7, GNR 2023-146
3618BVYP4, CV0718C, 1087640.00, 7, GNR 2023-146
3618FST57, CX5972C, 2652954.00, 7, GNR 2023-146
3618FFRY4, CW6803C, 549247.00, 7, GNR 2023-146
3618F87F3, CW0894C, 643103.00, 7, GNR 2023-146
3618FDRA1, CW4981C, 520619.00, 7, GNR 2023-146
3618FAHR1, CW2040C, 1658988.00, 7, GNR 2023-146
3618F9JP6, CW1170C, 863966.00, 7, GNR 2023-146
3618F4CB5, CV7266C, 604270.00, 7, GNR 2023-146
3618FLZ89, CX0767C, 1003947.00, 7, GNR 2023-146
3618FFXY7, CW6995C, 4134226.00, 7, GNR 2023-146
3618F9KL3, CW1199C, 1064375.00, 7, GNR 2023-146
3618F3YV9, CV7024C, 1105028.00, 7, GNR 2023-146
3618F3YT4, CV7022C, 1247256.00, 7, GNR 2023-146
3618FAHM2, CW2036C, 1458339.00, 7, GNR 2023-146
3618FTJL1, CX6567C, 552050.00, 7, GNR 2023-146
3618FF6D3, CW7168C, 2087229.00, 7, GNR 2023-146
3618FFX50, CW7000C, 16009700.00, 7, GNR 2023-146
3618F9M64, CW1281C, 767972.00, 7, GNR 2023-146
3618FHJ60, CW8385C, 586002.00, 7, GNR 2023-146
3618FEAU3, CW5419C, 558144.00, 7, GNR 2023-146
3618FNNH8, CX2192C, 873850.00, 7, GNR 2023-146
3618FHJ37, CW8382C, 535878.00, 7, GNR 2023-146
3618FJ3F3, CW9798C, 686880.00, 7, GNR 2023-146
3618FQB50, CX3660C, 858729.00, 7, GNR 2023-146
3618BVPX7, CV0438C, 1448270.00, 7, GNR 2023-146
3617M3WQ6, BR5155C, 2059688.00, 7, GNR 2023-146
3618BYWB1, CV3342C, 707545.00, 7, GNR 2023-146
3618B5VG4, CT0615C, 878099.00, 7, GNR 2023-146
3618FG3Q5, CW8007C, 1278592.00, 7, GNR 2023-146
3618B5VD1, CT0612C, 970830.00, 7, GNR 2023-146
3618F2ZK4, CV6146C, 677393.00, 7, GNR 2023-146
3617M3WP8, BR5154C, 1435895.00, 7, GNR 2023-146
3618FCFR9, CW3776C, 1132733.00, 7, GNR 2023-146
3618FA4R5, CW2632C, 664005.00, 7, GNR 2023-146
3618BVR64, CV0509C, 630247.00, 7, GNR 2023-146
3618BVR23, CV0505C, 528020.00, 7, GNR 2023-146
3618FJR26, CW9505C, 1219987.00, 7, GNR 2023-146
3618FERG6, CW5887C, 2148569.00, 7, GNR 2023-146
3618F8TA0, CW0545C, 1504765.00, 7, GNR 2023-146
3618F1ZL4, CV5247C, 878542.00, 7, GNR 2023-146
3618BKRZ4, CU2304C, 1346408.00, 7, GNR 2023-146
3618F2TZ8, CV5968C, 1160407.00, 7, GNR 2023-146
3618BVSB2, CV0514C, 579680.00, 7, GNR 2023-146
3618FER35, CW5906C, 623136.00, 7, GNR 2023-146
3618FE5U9, CW6259C, 1497862.00, 7, GNR 2023-146
3618F3XV0, CV6992C, 995300.00, 7, GNR 2023-146
3618FA4J3, CW2625C, 685292.00, 7, GNR 2023-146
3618FA4M6, CW2628C, 1442940.00, 7, GNR 2023-146
3618F1ZN0, CV5249C, 2310831.00, 7, GNR 2023-146
3618FG3X0, CW8014C, 560605.00, 7, GNR 2023-146
3618FA4L8, CW2627C, 1089334.00, 7, GNR 2023-146
3618BLW94, CU3372C, 543345.00, 7, GNR 2023-146
3618FA4K0, CW2626C, 784631.00, 7, GNR 2023-146
