3618GXCA2, DA7265C, 4951934.00, 7, GNR 2024-095
3618GQBZ3, DA0956C, 2650724.00, 7, GNR 2024-095
3618GPYL1, DA0715C, 82021.00, 7, GNR 2024-095
3618H2UN1, DB0589C, 81751.00, 7, GNR 2024-095
3618FT7J9, CX7197C, 2311081.00, 7, GNR 2024-095
3618GEDE5, CZ2801C, 2553.00, 7, GNR 2024-095
3618G23E2, CY3497C, 309864.00, 7, GNR 2024-095
3618GYA95, DA8132C, 179071.00, 7, GNR 2024-095
3618G4UQ1, CY5091C, 1629.00, 7, GNR 2024-095
3618GUK43, DA4815C, 96558.00, 7, GNR 2024-095
3618GP5V1, DA0860C, 1163137.00, 7, GNR 2024-095
3618F5A24, CV8125C, 954852.00, 7, GNR 2024-095
3618GEYZ5, CZ3428C, 80668.00, 7, GNR 2024-095
3618FPTW4, CX3265C, 1188752.00, 7, GNR 2024-095
3618H4W21, DB2465C, 82718.00, 7, GNR 2024-095
3618GP5D1, DA0844C, 1165888.00, 7, GNR 2024-095
3618GRKA6, DA2089C, 222770.00, 7, GNR 2024-095
3618GDDB3, CZ1898C, 1071543.00, 7, GNR 2024-095
3618H2MQ3, DB0367C, 327358.00, 7, GNR 2024-095
3618GXHD1, DA7428C, 402326.00, 7, GNR 2024-095
3618F5G93, CV8324C, 476008.00, 7, GNR 2024-095
3618H6YC2, DB4307C, 2152762.00, 7, GNR 2024-095
3618FTUS3, CX6893C, 1013984.00, 7, GNR 2024-095
3618H2U84, DB0607C, 1043418.00, 7, GNR 2024-095
3618H4GU7, DB2011C, 113011.00, 7, GNR 2024-095
3618H7PB2, DB4918C, 171301.00, 7, GNR 2024-095
3618H7NX6, DB4906C, 166453.00, 7, GNR 2024-095
3618FTUP9, CX6890C, 90263.00, 7, GNR 2024-095
3618GDC99, CZ1896C, 82699.00, 7, GNR 2024-095
3618F5D54, CV8224C, 1037249.00, 7, GNR 2024-095
3618GT2V6, DA4388C, 99606.00, 7, GNR 2024-095
3618GEWD6, CZ3344C, 190756.00, 7, GNR 2024-095
3618H4WY1, DB2463C, 105444.00, 7, GNR 2024-095
3618HFWJ9, DC1549C, 1211046.00, 7, GNR 2024-095
3618H7L67, DB4849C, 86148.00, 7, GNR 2024-095
3618HB6U2, DB8983C, 93366.00, 7, GNR 2024-095
3618GXCJ3, DA7273C, 8047686.00, 7, GNR 2024-095
3618H2UU5, DB0595C, 1092149.00, 7, GNR 2024-095
3618G3HM7, CY3836C, 94322.00, 7, GNR 2024-095
3618G9EQ8, CY9143C, 399038.00, 7, GNR 2024-095
3618G4UP3, CY5090C, 2277.00, 7, GNR 2024-095
